,Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level,Mental_Health_Score
106,22,Female,India,Undergraduate,YouTube,Education,3.0,121,6.4,2.6,8.9,Low,7.1
107,24,Female,Other,Graduate,Facebook,Networking,1.5,62,5.7,1.4,7.2,Low,7.6
108,22,Male,USA,Undergraduate,YouTube,Education,3.8,142,3.1,2.3,7.9,Medium,7.3
109,18,Female,Other,High School,Twitter,News,5.6,202,2.0,1.5,4.8,Very High,5.9
110,23,Female,Other,Graduate,YouTube,Education,2.9,120,5.9,2.7,7.3,Medium,8.5
111,19,Male,USA,Undergraduate,TikTok,Entertainment,6.6,228,1.5,1.7,5.9,Very High,5.0
112,19,Female,Other,Undergraduate,Twitter,News,2.5,104,5.5,2.1,7.3,Low,8.3
113,21,Male,Other,Undergraduate,YouTube,Education,5.9,200,2.4,0.0,7.1,High,6.4
114,18,Male,Other,High School,LinkedIn,Education,7.5,232,1.0,0.5,5.0,Very High,5.4
115,18,Male,Canada,High School,LinkedIn,Education,6.3,194,1.0,2.4,6.0,High,6.0
116,23,Female,Other,Graduate,TikTok,Entertainment,1.6,84,6.6,1.6,8.7,Low,8.9
117,20,Female,Other,Undergraduate,Twitter,News,8.2,251,1.0,1.0,5.0,Very High,5.9
118,22,Male,Other,Undergraduate,LinkedIn,Education,5.7,168,2.7,1.7,7.3,High,6.9
119,19,Female,Other,Undergraduate,Twitter,News,5.1,182,2.0,2.0,7.1,High,6.6
120,24,Male,Other,Graduate,Twitter,News,3.8,140,3.8,2.2,6.3,Medium,6.2
121,20,Male,India,Undergraduate,YouTube,Education,5.7,206,2.5,1.9,5.1,Very High,4.2
122,18,Male,Other,High School,Facebook,Networking,3.0,132,4.8,2.5,8.4,Medium,7.9
123,22,Male,Other,Undergraduate,Instagram,Entertainment,8.5,265,1.0,1.4,6.0,Very High,5.3
124,24,Female,Other,Graduate,Twitter,News,3.5,146,5.7,2.7,7.2,Medium,7.3
125,18,Female,USA,High School,Twitter,News,3.8,123,2.1,1.8,8.4,Medium,7.2
126,18,Female,Other,High School,Twitter,News,4.2,165,3.9,2.4,6.9,High,6.8
127,21,Female,Other,Undergraduate,YouTube,Education,4.5,138,3.7,3.2,6.1,High,6.3
128,24,Female,Other,Graduate,YouTube,Education,4.2,150,3.5,1.6,7.3,High,6.1
129,20,Male,Other,Undergraduate,Snapchat,Entertainment,3.8,131,4.9,0.7,6.7,High,6.2
130,21,Female,Other,Undergraduate,LinkedIn,Education,3.3,130,4.4,2.0,8.9,Low,7.9
131,24,Male,Other,Graduate,Facebook,Networking,4.1,155,3.9,2.2,6.1,Medium,6.0
132,23,Male,Other,Graduate,Snapchat,Entertainment,3.5,112,4.2,3.1,7.0,Medium,6.0
133,19,Male,Canada,Undergraduate,YouTube,Education,3.4,149,5.6,2.2,8.5,Low,8.0
134,19,Male,Other,Undergraduate,LinkedIn,Education,5.8,184,2.7,2.2,6.3,Very High,6.4
135,19,Female,India,Undergraduate,TikTok,Entertainment,6.0,180,3.4,1.6,6.8,High,6.5
136,24,Female,India,Graduate,Twitter,News,5.5,167,3.9,2.3,4.6,High,5.1
137,18,Male,Other,High School,Twitter,News,2.2,86,5.9,2.3,8.3,Medium,7.4
138,21,Male,India,Undergraduate,Instagram,Entertainment,3.0,136,5.8,3.4,7.2,Medium,7.2
139,18,Male,Other,High School,TikTok,Entertainment,6.2,203,1.6,2.1,5.9,Very High,4.9
140,20,Female,Other,Undergraduate,Instagram,Entertainment,1.9,111,7.0,3.1,7.8,Low,7.8
141,23,Male,UK,Graduate,LinkedIn,Education,2.6,126,6.0,2.4,8.8,Low,8.1
142,18,Male,Other,High School,Facebook,Networking,5.9,196,3.6,0.3,6.1,High,6.2
143,20,Male,Other,Undergraduate,LinkedIn,Education,3.9,129,4.7,2.3,6.9,Medium,6.6
144,22,Female,India,Undergraduate,Instagram,Entertainment,7.1,205,1.0,0.1,5.1,Very High,4.1
145,19,Male,USA,Undergraduate,Twitter,News,3.9,132,4.0,2.8,6.1,Medium,6.0
146,19,Male,India,Undergraduate,Snapchat,Entertainment,5.3,177,1.9,1.7,7.0,Medium,6.8
147,18,Male,Canada,High School,Twitter,News,6.2,212,1.8,1.2,4.7,Very High,4.2
148,19,Male,Other,Undergraduate,Facebook,Networking,5.2,171,1.8,1.7,6.5,High,6.1
149,21,Male,Other,Undergraduate,Facebook,Networking,5.5,178,2.0,3.0,5.7,High,6.0
150,20,Male,Canada,Undergraduate,Instagram,Entertainment,7.9,230,1.0,1.4,4.7,Very High,5.2
151,20,Male,Other,Undergraduate,YouTube,Education,3.9,128,4.6,2.4,6.7,Medium,6.0
152,21,Female,Canada,Undergraduate,YouTube,Education,5.9,211,2.3,1.4,6.0,High,5.1
153,20,Female,Other,Undergraduate,LinkedIn,Education,7.2,232,2.1,1.6,5.9,Very High,4.2
154,19,Male,Other,Undergraduate,TikTok,Entertainment,6.1,209,1.0,1.0,4.6,Very High,4.9
155,22,Male,India,Undergraduate,Facebook,Networking,3.9,140,3.6,1.9,8.6,Low,8.3
156,19,Female,USA,Undergraduate,YouTube,Education,5.2,167,3.5,2.0,7.0,High,6.7
157,21,Female,Germany,Undergraduate,LinkedIn,Education,7.1,216,1.0,1.2,5.5,Very High,4.4
158,20,Male,Other,Undergraduate,Twitter,News,7.9,222,1.0,0.4,5.4,Very High,5.3
159,19,Female,Canada,Undergraduate,Twitter,News,7.4,218,1.0,0.1,4.6,Very High,5.8
160,24,Male,Other,Graduate,YouTube,Education,5.2,170,3.0,1.9,6.5,Very High,6.0
161,21,Female,Other,Undergraduate,YouTube,Education,5.8,177,2.1,2.3,4.9,Very High,4.1
162,22,Female,Other,Undergraduate,Snapchat,Entertainment,6.9,234,1.9,1.1,4.6,Very High,4.3
163,20,Female,Other,Undergraduate,Facebook,Networking,6.3,182,1.0,1.7,5.9,High,5.3
164,24,Female,Other,Graduate,Twitter,News,4.4,160,3.5,3.2,6.2,Medium,6.2
165,23,Male,Germany,Graduate,TikTok,Entertainment,3.2,106,6.0,2.9,8.9,Low,8.0
166,21,Female,UK,Undergraduate,Facebook,Networking,7.6,235,1.0,1.7,5.9,Very High,4.7
167,22,Female,Other,Undergraduate,Instagram,Entertainment,3.5,147,3.8,1.9,8.7,Medium,8.0
168,22,Male,Other,Undergraduate,TikTok,Entertainment,3.3,117,4.7,1.6,8.2,Medium,7.4
169,24,Male,Other,Graduate,LinkedIn,Education,5.2,186,3.9,1.6,6.9,Medium,6.9
170,20,Female,UK,Undergraduate,LinkedIn,Education,5.9,204,2.8,1.5,5.5,Very High,4.3
171,23,Female,Other,Graduate,Twitter,News,6.1,188,2.6,2.3,5.1,Very High,4.9
172,20,Male,Other,Undergraduate,Facebook,Networking,7.2,222,2.7,0.0,4.6,Very High,4.4
173,18,Female,Other,High School,TikTok,Entertainment,7.5,229,1.0,0.8,5.8,Very High,4.6
174,24,Female,USA,Graduate,Twitter,News,6.4,222,2.9,1.4,6.0,High,5.2
175,21,Male,India,Undergraduate,Facebook,Networking,7.6,247,1.0,1.1,5.8,Very High,4.8
176,20,Male,UK,Undergraduate,Facebook,Networking,6.3,216,1.0,0.7,4.7,Very High,4.3
177,23,Female,Canada,Graduate,Snapchat,Entertainment,4.3,162,2.7,1.7,7.4,Medium,6.1
178,20,Female,Germany,Undergraduate,Snapchat,Entertainment,8.2,244,1.0,1.3,4.8,Very High,4.0
179,22,Male,Other,Undergraduate,Facebook,Networking,5.7,199,2.7,0.8,4.6,High,4.8
180,24,Female,Other,Graduate,TikTok,Entertainment,5.9,208,2.5,1.9,5.8,High,5.6
181,23,Male,Other,Graduate,Snapchat,Entertainment,7.7,218,1.0,1.1,5.1,Very High,5.7
182,24,Male,Other,Graduate,Twitter,News,3.2,129,3.0,1.2,7.8,Medium,8.4
183,21,Male,India,Undergraduate,TikTok,Entertainment,7.8,222,1.0,0.2,5.0,Very High,4.5
184,21,Male,Germany,Undergraduate,Instagram,Entertainment,1.9,104,6.5,2.7,8.7,Low,8.1
185,19,Male,USA,Undergraduate,TikTok,Entertainment,7.5,220,1.1,0.7,4.9,Very High,4.2
186,21,Male,USA,Undergraduate,YouTube,Education,7.1,237,1.0,0.6,5.9,Very High,4.7
187,23,Male,Other,Graduate,Twitter,News,8.2,241,1.0,0.9,5.7,Very High,4.9
188,21,Female,Other,Undergraduate,TikTok,Entertainment,8.3,234,1.0,0.6,4.6,Very High,4.8
189,18,Female,Other,High School,Facebook,Networking,8.1,227,1.0,1.3,4.7,Very High,5.6
190,20,Female,Other,Undergraduate,YouTube,Education,2.7,107,5.5,2.8,7.8,Low,7.5
191,24,Male,Other,Graduate,LinkedIn,Education,3.8,129,3.9,1.7,7.9,Low,8.8
192,23,Male,Other,Graduate,Instagram,Entertainment,3.4,147,4.4,1.3,8.4,Low,7.3
193,19,Male,USA,Undergraduate,Twitter,News,3.9,126,4.0,2.2,6.6,Medium,6.9
194,24,Male,Other,Graduate,Instagram,Entertainment,2.1,114,4.3,1.3,7.2,Low,7.2
195,18,Male,Other,High School,Snapchat,Entertainment,6.3,194,1.0,1.2,4.5,Very High,5.2
196,24,Female,USA,Graduate,YouTube,Education,7.4,228,1.0,0.3,5.9,Very High,4.3
197,21,Female,India,Undergraduate,LinkedIn,Education,4.4,136,4.2,1.2,6.4,High,6.4
198,23,Male,Other,Graduate,LinkedIn,Education,2.5,120,5.3,2.9,7.1,Low,8.8
199,23,Male,Other,Graduate,Instagram,Entertainment,7.5,250,1.6,0.0,5.7,Very High,4.5
200,24,Female,Other,Graduate,YouTube,Education,7.1,202,1.0,0.3,4.7,Very High,4.0
201,24,Male,Canada,Graduate,Twitter,News,6.7,223,1.0,1.2,6.0,Very High,4.5
202,19,Male,Other,Undergraduate,Twitter,News,3.6,135,3.9,2.9,6.9,Medium,6.8
203,21,Male,Other,Undergraduate,TikTok,Entertainment,5.2,187,2.1,1.8,6.4,High,7.0
204,18,Female,Other,High School,LinkedIn,Education,4.7,177,3.0,2.4,6.2,High,6.4
205,19,Male,Other,Undergraduate,YouTube,Education,2.9,102,5.7,3.3,8.0,Medium,7.4
206,20,Female,USA,Undergraduate,TikTok,Entertainment,5.6,169,1.3,1.6,6.8,High,6.5
207,22,Male,Australia,Undergraduate,Instagram,Entertainment,1.5,71,6.4,2.1,8.7,Low,8.6
208,21,Male,India,Undergraduate,Instagram,Entertainment,4.4,156,2.1,2.0,7.3,Medium,6.1
209,22,Female,Other,Undergraduate,Facebook,Networking,4.0,138,3.5,1.5,6.0,High,6.2
210,20,Male,Other,Undergraduate,LinkedIn,Education,5.7,206,1.4,1.7,5.5,High,6.0
211,18,Male,Other,High School,LinkedIn,Education,4.5,167,3.0,2.4,6.1,High,6.4
212,18,Female,Other,High School,Snapchat,Entertainment,3.2,125,5.1,1.7,7.8,Medium,8.5
213,21,Male,Other,Undergraduate,YouTube,Education,5.2,188,2.5,2.1,6.6,High,6.3
214,22,Male,Other,Undergraduate,LinkedIn,Education,3.5,134,3.3,3.4,8.1,Low,7.2
215,19,Male,USA,Undergraduate,LinkedIn,Education,2.4,111,5.5,2.1,7.2,Low,8.6
216,24,Female,Other,Graduate,LinkedIn,Education,4.8,147,4.8,2.1,6.7,High,6.4
217,23,Female,Other,Graduate,Snapchat,Entertainment,7.7,236,2.0,0.7,5.3,Very High,5.3
218,21,Male,Other,Undergraduate,Facebook,Networking,6.7,227,1.4,1.1,4.6,Very High,4.5
219,20,Female,Other,Undergraduate,Facebook,Networking,2.9,106,5.2,2.3,8.4,Medium,8.4
220,18,Male,Other,High School,LinkedIn,Education,2.5,121,4.8,2.1,8.7,Medium,8.6
221,18,Female,Other,High School,Facebook,Networking,6.2,218,2.1,0.5,5.1,Very High,5.2
222,18,Female,Other,High School,LinkedIn,Education,4.8,157,3.5,1.2,6.8,Medium,6.3
223,20,Male,India,Undergraduate,Instagram,Entertainment,7.6,242,1.0,0.4,5.4,Very High,4.1
224,19,Female,Other,Undergraduate,Facebook,Networking,4.5,156,2.2,1.8,6.2,High,6.6
225,21,Male,Other,Undergraduate,TikTok,Entertainment,2.6,115,3.7,1.8,7.4,Low,8.9
226,22,Female,Other,Undergraduate,YouTube,Education,2.3,111,4.8,2.1,8.8,Low,9.0
227,21,Male,UK,Undergraduate,Instagram,Entertainment,3.5,133,5.4,2.5,8.5,Medium,8.4
228,18,Female,USA,High School,Twitter,News,5.9,209,1.3,1.5,4.5,High,5.8
229,24,Male,India,Graduate,Instagram,Entertainment,8.2,269,1.0,1.2,4.8,Very High,4.5
230,22,Male,Other,Undergraduate,Instagram,Entertainment,1.9,101,6.6,2.1,7.2,Medium,8.2
231,21,Male,Other,Undergraduate,Instagram,Entertainment,5.4,183,2.3,1.7,6.6,High,6.5
232,24,Male,Germany,Graduate,LinkedIn,Education,7.1,221,1.0,1.6,5.8,Very High,4.2
233,20,Female,Other,Undergraduate,Twitter,News,1.8,93,6.4,3.5,7.2,Low,7.5
234,22,Female,Other,Undergraduate,YouTube,Education,7.9,239,1.2,0.6,5.1,Very High,4.9
235,24,Male,Other,Graduate,Twitter,News,8.1,232,1.0,1.1,6.0,Very High,4.8
236,22,Female,Canada,Undergraduate,TikTok,Entertainment,7.7,228,1.0,1.1,5.8,Very High,4.2
237,19,Female,India,Undergraduate,Snapchat,Entertainment,8.5,257,1.0,1.3,5.8,Very High,4.8
238,22,Female,India,Undergraduate,TikTok,Entertainment,6.6,193,1.7,1.0,5.3,Very High,5.0
239,23,Male,Other,Graduate,Facebook,Networking,8.2,252,1.0,1.5,5.7,Very High,4.0
240,20,Female,UK,Undergraduate,YouTube,Education,5.3,165,3.4,2.8,7.1,High,6.6
241,23,Male,Other,Graduate,LinkedIn,Education,6.4,213,1.0,1.1,5.4,Very High,4.3
242,22,Female,USA,Undergraduate,Facebook,Networking,3.8,127,5.3,2.3,6.9,High,6.5
243,18,Male,Australia,High School,Twitter,News,4.0,154,4.7,2.1,7.4,Medium,6.5
244,18,Female,Other,High School,TikTok,Entertainment,3.3,116,3.5,1.9,8.6,Low,8.7
245,24,Female,Other,Graduate,YouTube,Education,3.2,138,5.4,2.3,7.7,Medium,7.9
246,21,Female,Other,Undergraduate,YouTube,Education,3.2,141,5.3,2.2,7.6,Low,7.6
247,22,Male,Other,Undergraduate,Snapchat,Entertainment,2.3,102,5.1,3.1,8.1,Low,7.3
248,22,Male,Other,Undergraduate,YouTube,Education,8.1,239,1.0,1.3,5.6,Very High,5.4
249,21,Male,Other,Undergraduate,Twitter,News,3.5,132,5.8,1.3,7.5,Low,8.9
250,21,Male,USA,Undergraduate,TikTok,Entertainment,5.8,176,1.4,1.4,5.5,High,5.4
251,22,Male,Other,Undergraduate,YouTube,Education,6.0,203,3.1,1.4,6.7,High,6.4
252,19,Male,USA,Undergraduate,YouTube,Education,5.8,175,2.0,0.6,5.3,Very High,5.8
253,19,Male,Other,Undergraduate,Facebook,Networking,4.9,170,4.2,2.7,6.0,High,6.3
254,20,Male,Other,Undergraduate,TikTok,Entertainment,5.6,186,2.0,1.9,6.8,Medium,6.8
255,20,Female,Other,Undergraduate,Instagram,Entertainment,8.2,260,1.0,1.5,5.8,Very High,4.9
256,18,Female,Other,High School,YouTube,Education,7.4,220,1.9,0.9,5.8,Very High,4.7
257,23,Male,Other,Graduate,Snapchat,Entertainment,5.6,179,1.1,1.5,5.8,High,4.0
258,24,Female,India,Graduate,Snapchat,Entertainment,3.0,117,4.6,1.8,7.1,Medium,7.2
259,21,Male,Other,Undergraduate,TikTok,Entertainment,3.6,122,2.5,2.4,8.5,Medium,7.1
260,24,Male,Other,Graduate,Snapchat,Entertainment,6.3,215,1.6,1.8,5.3,Very High,4.3
261,24,Female,Other,Graduate,TikTok,Entertainment,6.0,202,1.9,1.3,4.9,High,5.4
262,23,Male,India,Graduate,Twitter,News,7.2,234,1.4,0.3,5.3,Very High,6.0
263,21,Female,India,Undergraduate,LinkedIn,Education,3.8,140,4.7,2.3,7.2,Medium,7.5
264,22,Female,Other,Undergraduate,YouTube,Education,4.6,140,3.7,1.0,6.4,Medium,6.0
265,19,Male,Other,Undergraduate,LinkedIn,Education,7.9,252,1.7,0.0,5.8,Very High,4.1
266,21,Female,Other,Undergraduate,TikTok,Entertainment,3.5,148,4.3,1.9,7.5,High,9.0
267,19,Female,Other,Undergraduate,YouTube,Education,2.7,114,4.5,2.7,8.6,Low,7.5
268,23,Male,Other,Graduate,LinkedIn,Education,2.4,100,5.5,2.6,7.1,Medium,7.1
269,19,Male,Other,Undergraduate,TikTok,Entertainment,6.9,216,1.7,0.8,5.0,Very High,5.6
