Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level,Mental_Health_Score
24.0,Male,Other,Graduate,Snapchat,Entertainment,2.3,113.0,4.4,2.5,8.2,Low,8.1
19.0,Male,India,Undergraduate,LinkedIn,Education,5.6,170.0,1.2,2.0,6.9,,6.6
22.0,Female,India,Undergraduate,Facebook,Networking,7.5,234.0,1.0,1.6,5.2,Very High,4.0
24.0,,UK,Graduate,TikTok,Entertainment,5.9,185.0,1.3,1.1,5.9,Very High,
,Male,UK,High School,Instagram,Entertainment,6.8,219.0,1.5,0.4,5.5,Very High,4.2
23.0,Male,,Graduate,Snapchat,Entertainment,6.7,214.0,1.0,2.1,5.5,Very High,5.0
22.0,Male,Other,Undergraduate,,Entertainment,4.5,176.0,3.2,2.0,6.1,High,6.6
22.0,,USA,Undergraduate,LinkedIn,Education,5.7,204.0,3.3,0.7,6.8,Medium,6.3
19.0,Female,Other,Undergraduate,Facebook,Networking,2.3,108.0,5.4,,8.0,Low,8.5
24.0,Male,Other,Graduate,Twitter,News,8.3,259.0,,1.3,5.5,Very High,4.3
21.0,Female,Other,Undergraduate,Twitter,News,6.5,222.0,1.0,1.2,5.7,High,4.2
22.0,Female,,Undergraduate,Twitter,News,6.9,204.0,1.0,1.0,5.3,Very High,4.5
20.0,Male,Other,Undergraduate,TikTok,Entertainment,8.1,,1.0,1.7,4.5,Very High,5.7
20.0,Female,Other,,Instagram,Entertainment,7.2,235.0,1.0,0.7,4.8,Very High,4.2
20.0,Male,Other,Undergraduate,Twitter,News,4.1,132.0,4.6,1.6,6.6,Medium,6.7
18.0,Male,Other,High School,LinkedIn,Education,7.2,240.0,1.0,1.3,4.5,,5.9
19.0,Female,Other,Undergraduate,Twitter,News,5.2,182.0,3.1,1.9,7.5,High,6.4
20.0,Male,UK,Undergraduate,Instagram,Entertainment,7.4,223.0,1.0,1.4,5.2,Very High,5.0
21.0,Male,Germany,Undergraduate,Instagram,Entertainment,3.6,134.0,3.9,2.6,7.1,Medium,8.5
22.0,Female,Other,Undergraduate,YouTube,Education,8.0,244.0,1.0,1.1,5.4,Very High,4.7
19.0,Female,,Undergraduate,Twitter,News,7.9,258.0,1.0,1.3,5.0,Very High,4.9
21.0,Female,India,Undergraduate,YouTube,Education,6.8,233.0,1.0,1.2,5.3,Very High,4.6
22.0,Male,Australia,Undergraduate,Twitter,News,7.3,239.0,1.0,1.2,5.5,Very High,4.7
21.0,Male,Other,Undergraduate,LinkedIn,Education,3.4,136.0,4.6,2.2,8.6,Low,8.8
21.0,Female,UK,Undergraduate,LinkedIn,Education,4.4,139.0,4.9,2.0,6.4,High,6.6
22.0,Male,Other,Undergraduate,Twitter,News,5.9,208.0,1.9,1.9,4.7,Very High,
23.0,Male,UK,Graduate,TikTok,Entertainment,6.0,180.0,1.2,1.8,4.8,Very High,5.5
24.0,Female,Other,Graduate,TikTok,Entertainment,3.0,106.0,5.1,2.3,8.1,Medium,8.0
19.0,Male,Other,Undergraduate,Instagram,Entertainment,2.7,94.0,5.5,1.9,,Low,7.6
24.0,Male,Other,Graduate,Instagram,Entertainment,1.7,104.0,7.4,2.6,7.7,Low,8.7
22.0,Female,Other,,YouTube,Education,6.2,199.0,2.5,1.4,5.3,Very High,5.5
21.0,Male,Other,Undergraduate,TikTok,Entertainment,1.8,79.0,6.5,2.6,7.9,Low,8.1
24.0,Female,Other,Graduate,Twitter,News,7.1,205.0,2.1,2.3,5.2,Very High,4.8
20.0,Female,India,Undergraduate,Snapchat,Entertainment,6.5,203.0,1.0,1.1,5.7,High,4.1
22.0,Male,Other,Undergraduate,Snapchat,Entertainment,7.6,243.0,1.0,1.3,5.9,Very High,6.0
19.0,Female,Other,Undergraduate,LinkedIn,Education,4.9,186.0,,2.3,6.8,High,6.6
24.0,Female,,Graduate,Instagram,Entertainment,8.2,251.0,1.0,1.0,5.3,Very High,4.4
21.0,Male,Other,Undergraduate,Snapchat,Entertainment,5.2,179.0,1.7,2.9,6.4,High,6.1
19.0,Female,Other,Undergraduate,Instagram,Entertainment,2.9,130.0,5.6,2.1,7.9,Medium,7.7
23.0,Female,,Graduate,YouTube,Education,,171.0,,2.1,7.3,High,6.2
20.0,Female,Other,Undergraduate,Snapchat,Entertainment,4.0,136.0,2.8,1.6,7.5,Medium,7.2
23.0,Male,Other,Graduate,TikTok,Entertainment,6.4,224.0,1.0,1.2,5.2,Very High,4.6
22.0,Male,UK,Undergraduate,Facebook,Networking,8.2,249.0,1.0,1.1,4.6,Very High,4.1
22.0,Male,Other,Undergraduate,Twitter,News,5.1,189.0,3.6,2.1,6.5,High,6.9
19.0,Male,Other,Undergraduate,YouTube,Education,2.5,91.0,7.1,2.5,7.6,Medium,8.4
22.0,Male,Other,Undergraduate,Facebook,Networking,6.5,190.0,3.8,2.0,5.8,Very High,5.5
24.0,Female,Australia,Graduate,YouTube,Education,,247.0,1.0,1.1,,Very High,5.3
24.0,Male,Other,Graduate,LinkedIn,Education,3.2,131.0,,2.0,7.1,Medium,8.6
23.0,Male,Germany,Graduate,Facebook,Networking,7.3,214.0,1.0,2.5,,Very High,
18.0,Female,USA,,Instagram,Entertainment,5.7,202.0,2.5,,5.1,High,4.9
23.0,Female,Other,Graduate,Instagram,Entertainment,4.7,146.0,2.6,1.5,6.1,High,6.6
22.0,Male,Other,Undergraduate,Twitter,News,5.9,,1.8,1.2,6.0,High,7.0
18.0,Male,Other,High School,YouTube,Education,7.4,218.0,1.0,0.7,5.0,Very High,4.7
18.0,Male,India,High School,TikTok,Entertainment,8.4,237.0,1.0,1.4,5.9,Very High,5.3
19.0,Male,India,Undergraduate,Instagram,Entertainment,8.1,259.0,1.0,0.8,4.8,Very High,4.1
22.0,Female,Other,Undergraduate,LinkedIn,Education,3.6,148.0,4.5,2.2,8.6,Medium,8.6
20.0,Male,Canada,Undergraduate,Twitter,News,5.8,174.0,2.1,1.5,5.6,High,5.5
21.0,Female,USA,Undergraduate,Snapchat,Entertainment,8.0,228.0,1.0,1.4,5.8,Very High,5.1
23.0,Male,India,,Snapchat,Entertainment,5.7,191.0,1.0,1.2,5.9,High,5.2
18.0,Male,Australia,High School,TikTok,Entertainment,8.0,226.0,,,4.6,Very High,5.8
23.0,Male,UK,Graduate,Instagram,Entertainment,3.7,146.0,4.3,2.2,8.4,Low,7.2
20.0,Male,Other,,Facebook,Networking,3.4,146.0,6.0,2.5,8.6,Low,8.7
23.0,Female,Australia,Graduate,Facebook,Networking,3.3,137.0,4.8,2.3,8.6,Medium,8.3
18.0,Female,Canada,High School,Snapchat,Entertainment,3.1,111.0,5.7,1.8,7.8,Medium,7.5
21.0,Male,Other,Undergraduate,,Education,8.2,236.0,1.0,1.3,6.0,Very High,5.4
20.0,Male,USA,Undergraduate,LinkedIn,Education,4.1,154.0,3.0,1.6,7.2,Medium,6.8
,Female,Other,High School,TikTok,Entertainment,3.5,114.0,3.7,1.9,7.0,Medium,6.5
21.0,Male,Other,,Facebook,Networking,5.9,193.0,1.5,,6.0,Very High,6.7
22.0,Male,Germany,Undergraduate,YouTube,Education,5.6,182.0,4.1,2.3,5.6,High,5.7
22.0,Male,Canada,Undergraduate,YouTube,Education,3.8,149.0,3.5,2.4,,Medium,7.9
20.0,,Other,Undergraduate,Facebook,Networking,3.8,128.0,4.9,2.4,7.6,High,8.7
21.0,Female,Other,Undergraduate,,Networking,5.8,200.0,1.5,2.2,5.8,Very High,4.9
18.0,Male,Other,High School,Snapchat,Entertainment,3.7,144.0,5.0,3.5,7.5,Low,7.0
20.0,Female,Other,Undergraduate,LinkedIn,Education,2.9,106.0,5.4,1.4,8.3,Medium,8.4
21.0,Male,India,Undergraduate,LinkedIn,Education,4.5,151.0,,1.5,7.5,Medium,7.0
21.0,Male,Other,Undergraduate,Snapchat,Entertainment,3.8,122.0,4.2,1.7,7.2,,6.1
20.0,Male,,Undergraduate,Twitter,News,2.9,114.0,,1.8,8.2,Low,7.6
23.0,Male,Other,Graduate,Twitter,News,5.0,160.0,3.4,1.2,6.7,High,6.8
21.0,Male,Other,Undergraduate,Instagram,Entertainment,6.5,191.0,1.1,1.2,5.6,Very High,4.3
22.0,Female,UK,Undergraduate,Instagram,Entertainment,3.6,137.0,3.4,1.5,7.1,Medium,6.0
,Male,Other,High School,LinkedIn,Education,6.9,219.0,1.0,1.4,5.9,Very High,4.9
23.0,Female,Other,Graduate,TikTok,Entertainment,2.3,85.0,5.8,2.5,8.3,Low,8.8
19.0,Male,Other,Undergraduate,,Entertainment,2.6,97.0,6.7,2.6,7.8,Low,8.8
22.0,Male,Other,Undergraduate,Instagram,Entertainment,6.2,183.0,1.9,1.7,4.8,Very High,5.9
24.0,Female,Australia,,Instagram,Entertainment,,147.0,4.1,2.4,7.3,High,6.5
20.0,Female,Other,Undergraduate,Instagram,Entertainment,7.5,225.0,1.0,0.9,4.7,Very High,4.6
20.0,Male,India,Undergraduate,Instagram,Entertainment,3.8,122.0,5.2,,8.2,High,
21.0,Female,Other,Undergraduate,TikTok,Entertainment,8.4,242.0,1.0,1.0,5.3,Very High,5.9
24.0,Female,Other,Graduate,Twitter,,5.9,211.0,1.8,0.6,4.9,Very High,4.1
22.0,Male,Australia,Undergraduate,YouTube,Education,6.0,185.0,2.9,1.0,6.8,High,6.9
23.0,Male,Other,Graduate,TikTok,Entertainment,3.5,139.0,,1.3,8.5,Medium,7.3
21.0,Male,,Undergraduate,LinkedIn,Education,3.1,120.0,6.1,2.2,,Low,8.5
19.0,Female,Canada,Undergraduate,Instagram,Entertainment,4.5,144.0,3.6,1.8,6.1,High,6.6
21.0,Female,Other,Undergraduate,Instagram,Entertainment,5.6,177.0,1.4,1.4,5.4,Very High,
21.0,Female,Other,Undergraduate,Facebook,Networking,3.6,115.0,3.3,3.1,7.2,Medium,9.0
18.0,Male,UK,High School,LinkedIn,Education,7.3,236.0,2.0,1.4,5.3,Very High,4.0
21.0,Female,Other,Undergraduate,YouTube,Education,8.3,245.0,1.1,1.3,5.1,Very High,4.2
20.0,Female,India,Undergraduate,LinkedIn,Education,5.1,171.0,2.8,1.3,,,6.1
24.0,Female,India,Graduate,YouTube,,3.4,116.0,4.3,1.7,8.0,Medium,7.5
22.0,Female,Other,Undergraduate,Instagram,Entertainment,8.0,257.0,1.2,,4.9,Very High,4.0
18.0,Male,Other,High School,,Education,3.7,125.0,3.4,2.2,6.9,Medium,6.9
18.0,Female,Other,High School,Instagram,Entertainment,3.3,129.0,4.0,1.2,8.3,Medium,8.5
21.0,Male,Other,Undergraduate,Twitter,News,5.3,191.0,3.2,1.6,7.3,High,6.7
23.0,Female,USA,Graduate,Instagram,Entertainment,3.8,148.0,3.9,2.1,7.4,Medium,7.1
24.0,Male,Other,Graduate,Instagram,Entertainment,3.7,141.0,4.3,2.0,7.4,Medium,8.7
22.0,Female,Other,Undergraduate,Twitter,News,1.9,107.0,6.0,2.1,9.0,Low,8.6
21.0,Female,Germany,Undergraduate,Facebook,Networking,4.4,142.0,3.9,1.6,6.5,High,6.5
18.0,Female,UK,High School,LinkedIn,Education,4.0,163.0,5.1,1.9,6.9,,6.1
20.0,Male,Other,Undergraduate,YouTube,Education,5.6,187.0,2.5,,5.3,Very High,5.4
22.0,Female,Other,Undergraduate,YouTube,Education,3.2,121.0,5.3,2.5,8.3,Low,7.5
21.0,Female,UK,Undergraduate,Snapchat,Entertainment,6.1,187.0,1.0,2.0,4.5,Very High,4.1
18.0,Female,Australia,High School,TikTok,Entertainment,5.3,186.0,2.7,,7.1,High,6.4
18.0,Female,Other,High School,LinkedIn,Education,5.6,204.0,1.7,1.4,5.9,High,5.2
24.0,Male,Other,,TikTok,Entertainment,6.3,,1.0,,5.5,Very High,5.6
23.0,Female,Other,Graduate,Snapchat,Entertainment,5.8,171.0,1.5,1.9,6.9,High,6.1
23.0,Male,Canada,Graduate,Twitter,News,2.8,113.0,4.9,2.1,7.7,Medium,8.1
18.0,Female,Other,High School,YouTube,Education,6.5,216.0,2.2,1.8,5.6,Very High,4.3
23.0,Female,Australia,Graduate,Snapchat,Entertainment,4.6,155.0,2.3,2.3,6.9,High,6.6
18.0,Female,USA,,TikTok,,7.0,230.0,1.0,1.9,4.9,Very High,5.4
,Male,Other,High School,Twitter,News,1.8,98.0,5.8,3.4,8.0,Low,8.0
18.0,Male,Other,High School,Instagram,Entertainment,3.7,119.0,4.0,1.6,,Medium,6.5
18.0,Male,Other,High School,TikTok,Entertainment,7.9,244.0,,1.0,5.9,Very High,4.7
22.0,Male,India,Undergraduate,Snapchat,,4.6,146.0,,1.9,6.6,Medium,6.9
20.0,Female,Other,Undergraduate,Twitter,News,8.2,248.0,1.0,0.9,5.8,Very High,4.6
21.0,Female,Other,Undergraduate,TikTok,Entertainment,8.4,250.0,1.0,0.6,5.9,Very High,5.0
22.0,Female,Other,Undergraduate,TikTok,Entertainment,3.7,149.0,3.7,1.3,,,6.7
23.0,Female,Other,Graduate,TikTok,Entertainment,7.3,241.0,1.0,1.2,5.5,Very High,5.7
24.0,Female,Other,Graduate,Twitter,News,2.9,,5.3,1.9,7.7,Medium,8.1
18.0,Male,Other,High School,Twitter,News,1.8,91.0,6.3,,8.9,Low,8.6
23.0,Female,Other,Graduate,Snapchat,Entertainment,6.3,207.0,1.0,1.0,5.7,Very High,5.9
19.0,Male,Other,Undergraduate,YouTube,Education,3.4,136.0,4.7,1.6,,Low,7.6
24.0,Male,Other,Graduate,Facebook,Networking,5.7,192.0,2.5,1.7,6.8,High,6.6
24.0,Female,Other,Graduate,Facebook,Networking,3.8,151.0,6.2,2.1,7.4,Medium,6.3
21.0,Male,Other,Undergraduate,TikTok,Entertainment,3.6,154.0,5.9,2.4,7.4,Medium,7.8
18.0,Female,Other,High School,Facebook,Networking,6.5,220.0,1.0,2.5,4.7,Very High,4.8
24.0,Female,Other,Graduate,YouTube,Education,7.8,225.0,1.0,1.2,5.4,Very High,5.6
22.0,Male,USA,Undergraduate,TikTok,Entertainment,3.7,136.0,,2.3,7.1,,7.5
18.0,Male,Other,High School,LinkedIn,Education,3.7,135.0,3.8,1.5,6.7,Medium,6.2
,Male,India,Undergraduate,Facebook,Networking,5.7,187.0,2.6,0.9,7.2,Very High,6.2
18.0,Female,USA,High School,Facebook,Networking,3.3,128.0,5.7,3.0,,Medium,8.8
21.0,Female,Other,Undergraduate,Facebook,Networking,3.3,135.0,4.1,1.7,8.2,Low,8.6
20.0,,Other,Undergraduate,Snapchat,Entertainment,1.8,86.0,5.7,2.0,8.5,Low,7.5
23.0,Female,Canada,,Snapchat,Entertainment,5.4,170.0,1.0,1.6,7.1,High,6.5
20.0,Female,Other,Undergraduate,YouTube,Education,5.9,190.0,2.0,1.5,4.9,High,5.1
20.0,Male,Australia,Undergraduate,LinkedIn,Education,3.3,141.0,3.9,,8.8,Medium,7.9
24.0,Male,Other,Graduate,Snapchat,Entertainment,7.2,217.0,1.0,1.0,4.7,Very High,5.4
18.0,Male,Other,High School,Snapchat,Entertainment,1.6,65.0,5.7,3.2,8.1,Low,8.6
24.0,Female,Other,Graduate,YouTube,Education,3.4,,4.5,1.7,8.2,Low,8.2
22.0,Female,Other,Undergraduate,Twitter,News,2.6,97.0,4.0,1.7,7.5,Low,8.5
20.0,Female,USA,Undergraduate,Twitter,News,5.1,176.0,1.7,2.2,6.5,High,6.9
,Female,Other,Graduate,Instagram,Entertainment,5.8,,3.9,1.8,6.2,High,6.2
19.0,Male,Australia,Undergraduate,Instagram,Entertainment,4.3,142.0,2.7,1.6,6.7,Medium,6.3
20.0,Female,Other,Undergraduate,TikTok,Entertainment,2.5,100.0,4.6,1.6,7.7,Medium,8.5
22.0,Female,Other,Undergraduate,YouTube,Education,5.8,181.0,3.7,1.2,6.0,High,4.7
20.0,Male,Other,Undergraduate,LinkedIn,Education,2.5,92.0,7.8,2.3,7.4,Medium,8.2
19.0,Female,Australia,Undergraduate,TikTok,Entertainment,6.4,191.0,1.0,2.0,5.5,Very High,4.4
20.0,Male,Other,Undergraduate,Twitter,News,7.8,227.0,1.0,0.5,5.2,Very High,5.2
20.0,Male,USA,Undergraduate,Twitter,,6.5,205.0,1.8,1.3,4.5,Very High,4.2
22.0,Female,India,Undergraduate,YouTube,Education,3.0,121.0,6.4,2.6,8.9,Low,7.1
24.0,Female,Other,Graduate,Facebook,Networking,1.5,62.0,5.7,1.4,7.2,Low,7.6
19.0,Female,Other,Undergraduate,TikTok,Entertainment,8.1,260.0,1.0,,5.6,Very High,5.5
21.0,Female,Other,Undergraduate,,Entertainment,2.6,117.0,6.0,1.8,7.4,Medium,7.4
18.0,Male,Other,High School,Snapchat,Entertainment,,94.0,,2.5,8.5,Low,7.6
23.0,Female,Other,Graduate,,Entertainment,2.4,118.0,5.3,2.5,7.6,Medium,7.6
23.0,Female,Other,Graduate,TikTok,Entertainment,6.6,191.0,1.3,1.9,6.0,,5.0
22.0,Male,USA,Undergraduate,YouTube,Education,3.8,142.0,3.1,2.3,7.9,Medium,7.3
21.0,Female,USA,Undergraduate,LinkedIn,Education,5.8,188.0,,0.4,7.0,High,6.4
20.0,Male,,Undergraduate,LinkedIn,Education,8.2,249.0,1.0,0.6,6.0,Very High,5.7
22.0,Male,,Undergraduate,Facebook,,4.5,175.0,3.7,1.9,6.0,High,6.3
18.0,Female,Other,High School,Twitter,News,5.6,202.0,2.0,1.5,4.8,Very High,5.9
20.0,Male,Other,Undergraduate,TikTok,Entertainment,3.5,123.0,4.9,2.4,,High,7.8
23.0,Female,Other,Graduate,YouTube,Education,2.9,120.0,5.9,2.7,7.3,Medium,8.5
19.0,Male,USA,Undergraduate,TikTok,Entertainment,6.6,228.0,1.5,1.7,5.9,Very High,5.0
24.0,Male,,Graduate,Twitter,News,8.0,254.0,1.0,0.9,5.1,Very High,5.3
18.0,Male,Other,High School,LinkedIn,Education,7.3,242.0,,0.3,5.1,Very High,4.1
19.0,Female,Other,Undergraduate,Twitter,News,2.5,104.0,5.5,2.1,7.3,Low,8.3
19.0,Male,Canada,Undergraduate,TikTok,Entertainment,2.6,101.0,,2.6,8.4,Low,8.2
,Male,India,Graduate,Twitter,News,2.3,102.0,6.0,1.9,8.3,Low,8.9
21.0,,Other,Undergraduate,Twitter,News,5.3,189.0,2.6,,7.3,Medium,6.1
,Female,Other,Undergraduate,Snapchat,Entertainment,7.7,254.0,2.0,1.5,5.7,Very High,5.3
19.0,Female,Other,Undergraduate,Snapchat,,4.6,167.0,4.7,1.9,6.2,High,6.2
21.0,Male,Other,Undergraduate,YouTube,Education,5.9,200.0,2.4,0.0,7.1,High,6.4
18.0,Male,Other,High School,LinkedIn,Education,7.5,232.0,1.0,0.5,5.0,Very High,5.4
18.0,Male,Canada,High School,LinkedIn,Education,6.3,194.0,1.0,2.4,6.0,High,6.0
19.0,Male,Other,Undergraduate,YouTube,Education,5.3,173.0,3.7,,7.0,High,6.7
23.0,Female,Other,Graduate,TikTok,Entertainment,1.6,84.0,6.6,1.6,8.7,Low,8.9
20.0,Male,,Undergraduate,LinkedIn,Education,,219.0,1.9,2.0,4.5,Very High,4.7
20.0,Female,Other,Undergraduate,Twitter,News,8.2,251.0,1.0,1.0,5.0,Very High,5.9
23.0,Male,Other,Graduate,LinkedIn,Education,6.1,208.0,2.6,2.0,5.9,,4.8
22.0,Male,Other,Undergraduate,LinkedIn,Education,5.7,168.0,2.7,1.7,7.3,High,6.9
19.0,Female,Other,Undergraduate,Twitter,News,5.1,182.0,2.0,2.0,7.1,High,6.6
24.0,Male,Other,Graduate,Twitter,News,3.8,140.0,3.8,2.2,6.3,Medium,6.2
20.0,Male,India,Undergraduate,YouTube,Education,5.7,206.0,2.5,1.9,5.1,Very High,4.2
20.0,Female,UK,Undergraduate,Facebook,Networking,6.6,208.0,,2.5,5.3,Very High,4.6
20.0,Male,USA,Undergraduate,Instagram,Entertainment,8.3,251.0,1.0,1.4,5.1,,5.8
20.0,Male,Other,,Instagram,Entertainment,7.1,207.0,,0.4,,Very High,4.5
18.0,Male,Other,High School,Facebook,Networking,3.0,132.0,4.8,2.5,8.4,Medium,7.9
22.0,Male,Other,Undergraduate,Instagram,Entertainment,8.5,265.0,1.0,1.4,6.0,Very High,5.3
24.0,Female,Other,Graduate,Twitter,News,3.5,146.0,5.7,2.7,7.2,Medium,7.3
18.0,Female,USA,High School,Twitter,News,3.8,123.0,2.1,1.8,8.4,Medium,7.2
19.0,Male,Other,,Instagram,Entertainment,2.0,83.0,5.8,3.1,7.1,Medium,8.2
18.0,Female,Other,High School,Twitter,News,4.2,165.0,3.9,2.4,6.9,High,6.8
21.0,Female,Other,Undergraduate,YouTube,Education,4.5,138.0,3.7,3.2,6.1,High,6.3
24.0,Female,Other,Graduate,YouTube,Education,4.2,150.0,3.5,1.6,7.3,High,6.1
24.0,Female,Other,Graduate,Facebook,Networking,5.6,181.0,1.0,1.3,5.5,,
21.0,Female,India,Undergraduate,Facebook,Networking,3.1,139.0,5.2,2.1,7.2,Medium,
19.0,,Other,Undergraduate,Instagram,Entertainment,5.9,206.0,3.5,1.3,5.5,High,4.0
22.0,Female,India,Undergraduate,YouTube,Education,7.5,247.0,1.0,0.7,,Very High,4.7
20.0,Male,Other,Undergraduate,Snapchat,Entertainment,3.8,131.0,4.9,0.7,6.7,High,6.2
21.0,Female,Other,Undergraduate,LinkedIn,Education,3.3,130.0,4.4,2.0,8.9,Low,7.9
24.0,Male,Other,Graduate,Facebook,Networking,4.1,155.0,3.9,2.2,6.1,Medium,6.0
19.0,Female,Other,Undergraduate,YouTube,,6.8,233.0,1.0,1.1,5.6,Very High,5.0
23.0,Male,Other,Graduate,Snapchat,Entertainment,3.5,112.0,4.2,3.1,7.0,Medium,6.0
19.0,Male,Canada,Undergraduate,YouTube,Education,3.4,149.0,5.6,2.2,8.5,Low,8.0
19.0,Male,Other,Undergraduate,LinkedIn,Education,5.8,184.0,2.7,2.2,6.3,Very High,6.4
19.0,Female,India,Undergraduate,TikTok,Entertainment,6.0,180.0,3.4,1.6,6.8,High,6.5
23.0,Female,Other,,TikTok,Entertainment,3.0,124.0,5.9,2.7,8.6,Low,7.7
19.0,,USA,Undergraduate,Twitter,News,5.0,181.0,3.4,1.9,7.5,High,6.6
24.0,Female,India,Graduate,Twitter,News,5.5,167.0,3.9,2.3,4.6,High,5.1
20.0,Female,India,Undergraduate,TikTok,Entertainment,5.3,,3.1,1.7,6.0,Very High,6.5
21.0,,Canada,Undergraduate,Facebook,Networking,5.6,200.0,3.1,1.8,6.0,High,6.3
19.0,Female,India,Undergraduate,Facebook,Networking,5.8,207.0,,1.7,7.4,High,6.5
18.0,Male,Other,High School,Twitter,News,2.2,86.0,5.9,2.3,8.3,Medium,7.4
24.0,Male,Other,,LinkedIn,Education,1.7,103.0,5.7,2.8,,Low,7.6
21.0,Male,India,Undergraduate,Instagram,Entertainment,3.0,136.0,5.8,3.4,7.2,Medium,7.2
18.0,,Other,High School,TikTok,,4.7,181.0,2.4,1.7,6.6,High,7.0
23.0,Male,Other,Graduate,YouTube,Education,6.2,188.0,2.4,,,High,5.6
18.0,Male,Other,High School,TikTok,Entertainment,6.2,203.0,1.6,2.1,5.9,Very High,4.9
20.0,Female,Other,Undergraduate,Instagram,Entertainment,1.9,111.0,7.0,3.1,7.8,Low,7.8
23.0,Male,UK,Graduate,LinkedIn,Education,2.6,126.0,6.0,2.4,8.8,Low,8.1
18.0,Male,Other,High School,Facebook,Networking,5.9,196.0,3.6,0.3,6.1,High,6.2
20.0,Male,Other,Undergraduate,LinkedIn,Education,3.9,129.0,4.7,2.3,6.9,Medium,6.6
22.0,Female,India,Undergraduate,Instagram,Entertainment,7.1,205.0,1.0,0.1,5.1,Very High,4.1
19.0,Male,USA,Undergraduate,Twitter,News,3.9,132.0,4.0,2.8,6.1,Medium,6.0
20.0,,,Undergraduate,TikTok,Entertainment,8.0,227.0,1.0,1.1,4.9,,4.8
24.0,Male,Other,Graduate,Snapchat,Entertainment,5.9,179.0,1.7,2.0,6.1,,6.1
24.0,Female,,Graduate,Facebook,Networking,8.4,237.0,1.0,0.4,5.9,Very High,5.5
21.0,Female,Other,Undergraduate,YouTube,Education,7.5,242.0,1.0,0.3,,Very High,6.0
