,Student_Type,Sleep_Hours,Study_Hours,Social_Media_Hours,Attendance,Exam_Pressure,Family_Support,Month,Stress_Level
34,college,4.3,6.1,3.5,95.0,1,10,10,0
35,school,6.7,3.3,3.5,70.5,3,3,2,0
36,college,5.3,4.5,0.1,64.7,6,7,6,1
37,school,9.0,2.7,3.5,78.0,5,3,10,0
38,working_student,7.7,4.5,4.6,72.9,2,4,1,0
39,college,5.6,4.5,8.9,84.0,5,3,11,0
40,working_student,3.4,5.2,4.0,95.5,3,1,9,0
41,working_student,7.1,5.1,4.8,83.6,5,5,6,0
42,college,8.9,5.7,3.5,89.4,6,7,1,0
43,college,5.3,5.2,4.3,81.7,8,3,6,1
44,school,7.8,0.9,3.4,95.5,6,9,6,0
45,school,7.2,2.4,2.8,82.0,2,7,4,0
46,school,7.8,3.6,2.2,77.0,3,7,3,0
47,school,6.5,3.2,1.7,77.4,7,6,2,1
48,school,7.1,2.7,3.8,70.9,4,6,4,0
49,college,8.3,4.6,2.7,83.5,4,1,6,0
50,school,6.8,3.5,3.5,85.7,5,5,5,0
51,working_student,7.1,7.4,0.9,99.9,4,6,7,0
52,college,6.7,2.2,6.3,85.8,4,9,8,0
53,college,6.8,3.2,3.8,97.7,3,5,9,0
54,college,7.6,4.5,4.9,84.0,5,5,11,0
55,working_student,6.8,6.1,1.9,99.2,3,7,11,0
56,college,7.4,0.5,5.1,91.2,6,3,6,0
57,college,6.8,3.4,5.0,82.3,4,5,10,0
58,college,8.8,4.5,6.3,68.1,9,7,8,0
59,college,7.0,3.8,4.8,90.6,2,2,12,0
60,college,8.3,3.5,2.4,85.2,5,4,8,1
61,working_student,3.6,6.7,4.7,76.6,2,9,12,0
62,college,5.3,5.0,4.6,91.1,4,6,6,0
63,college,5.3,0.2,5.0,74.4,7,4,2,1
64,college,6.5,8.1,6.3,86.4,7,5,8,1
65,college,7.8,2.2,0.1,71.9,9,4,1,1
66,college,4.7,4.0,5.1,59.5,5,10,2,0
67,school,9.3,2.6,7.7,76.8,7,6,7,0
68,working_student,6.5,2.1,2.7,88.9,2,5,12,0
69,college,5.4,0.7,3.9,79.7,4,3,1,0
70,working_student,6.9,4.5,0.6,82.0,6,5,3,0
71,working_student,6.7,9.9,1.7,93.7,6,5,4,0
72,working_student,5.6,6.6,3.1,68.3,5,2,10,0
73,school,5.4,6.1,2.0,61.1,7,9,2,1
74,school,7.9,4.5,0.9,81.3,7,6,10,0
75,college,8.2,2.4,5.8,75.0,8,8,2,1
76,working_student,7.7,6.3,2.0,84.9,6,4,10,0
77,college,9.0,8.2,1.5,73.6,8,6,12,1
78,college,6.8,6.5,4.2,99.6,6,8,10,0
79,college,6.8,4.5,3.5,82.0,4,7,1,0
80,college,9.9,2.5,5.3,73.5,4,6,1,0
81,college,3.8,7.2,3.7,84.4,6,7,7,0
82,college,8.2,6.3,6.5,72.3,7,5,6,1
83,college,6.6,3.7,5.8,88.7,9,5,2,1
84,college,5.0,2.4,3.0,76.7,5,5,5,0
85,college,8.1,1.9,5.6,64.2,3,4,7,0
86,working_student,6.6,6.4,3.5,99.0,5,5,11,0
87,school,8.2,4.3,3.5,82.9,7,8,5,1
88,college,6.4,3.1,2.3,85.6,2,7,3,0
89,working_student,4.3,8.8,2.9,82.0,5,5,1,1
90,college,5.4,6.2,6.0,82.0,5,3,7,0
91,working_student,5.8,5.2,4.9,66.9,8,6,3,1
92,college,7.6,2.7,1.4,79.1,5,7,7,0
93,working_student,6.1,6.2,2.4,71.3,1,8,9,0
94,working_student,4.1,4.2,0.4,92.7,5,4,11,0
95,college,6.6,3.5,5.5,76.8,6,9,12,0
96,college,8.8,8.8,2.2,83.0,6,7,7,1
97,college,7.0,6.7,5.5,71.0,3,7,9,0
98,college,5.5,7.1,3.7,63.6,9,7,1,1
99,college,8.1,2.4,2.2,84.8,3,7,7,0
100,school,7.7,5.4,3.4,95.1,6,3,1,1
101,college,6.6,4.5,0.4,98.9,1,3,1,0
102,college,8.2,7.9,4.1,76.7,4,8,12,0
103,college,4.4,3.9,3.4,98.1,7,6,9,1
104,college,8.1,7.8,4.4,74.2,9,8,7,1
105,college,9.1,4.5,5.3,77.8,3,6,12,0
106,college,6.9,4.7,2.3,53.4,3,2,5,0
107,school,7.0,3.5,6.4,94.4,5,1,10,1
108,college,6.5,5.7,3.9,87.6,2,8,12,1
109,college,6.6,5.5,4.0,81.4,4,7,2,0
110,school,7.8,5.7,1.8,97.0,5,1,5,1
111,college,8.3,4.0,3.1,93.1,8,7,3,1
112,college,6.7,5.4,3.1,95.7,10,5,6,1
113,college,5.0,1.8,4.4,75.6,7,6,12,0
114,school,7.6,4.1,0.6,98.4,10,7,7,1
115,college,7.3,3.4,4.6,83.4,2,7,10,0
116,working_student,4.9,7.8,1.1,92.2,5,7,1,0
117,school,6.8,5.1,1.1,82.4,8,3,7,0
118,college,9.9,9.1,2.1,99.5,3,6,3,1
119,working_student,6.5,11.2,5.9,64.5,8,1,8,1
120,college,6.1,4.2,1.3,80.1,6,6,7,0
121,school,6.5,3.8,0.3,75.6,7,8,10,0
122,school,7.0,2.3,1.0,97.0,4,9,9,1
123,working_student,6.0,5.7,2.3,78.2,2,6,8,0
124,school,6.5,2.2,3.1,82.0,6,9,2,0
125,school,7.0,1.7,3.2,75.5,4,2,1,0
126,school,9.1,0.9,1.6,71.4,7,6,4,0
127,school,9.3,1.7,3.8,89.5,5,9,1,0
128,school,7.2,1.4,3.5,94.3,8,5,9,0
129,working_student,5.7,4.9,3.0,81.4,8,6,3,0
130,college,7.1,5.9,3.5,97.1,6,5,2,1
131,school,7.9,3.6,4.6,78.9,5,7,10,0
132,college,7.5,5.2,3.5,88.5,8,7,6,1
133,college,7.9,4.8,1.7,76.2,9,6,9,1
134,school,8.2,3.4,1.4,69.5,2,6,6,0
135,school,7.4,3.5,4.5,81.9,9,4,12,1
136,college,6.5,3.4,5.7,97.8,4,4,7,0
137,school,7.4,2.1,1.5,96.0,5,5,12,0
138,college,7.1,5.4,1.2,66.9,10,9,1,1
139,school,7.6,1.5,0.4,64.5,7,4,12,0
140,college,7.4,1.9,1.6,76.2,8,10,2,0
141,school,5.8,3.2,5.1,75.7,7,6,8,1
142,working_student,4.7,6.3,6.4,64.2,6,10,7,0
143,college,4.7,5.4,4.7,95.4,4,7,9,0
144,school,7.6,1.5,0.6,78.7,3,1,2,0
145,school,7.3,0.6,4.3,82.0,5,7,4,0
146,college,4.6,5.9,7.9,87.0,5,8,10,0
147,school,7.6,3.1,5.3,82.9,2,4,7,0
148,school,7.3,0.9,1.3,71.3,9,8,5,1
149,college,8.3,2.2,3.8,93.8,7,7,6,1
150,college,7.2,5.4,1.9,88.5,5,8,10,0
151,working_student,5.8,9.9,2.9,68.6,9,6,6,1
152,school,6.5,2.2,2.7,99.2,7,7,12,0
153,college,6.7,6.0,1.8,87.0,5,10,8,0
154,school,6.5,6.0,0.5,105.0,1,3,3,0
155,school,6.2,2.8,5.6,78.1,2,9,9,0
156,school,6.8,3.4,9.0,82.0,5,5,3,1
157,college,7.9,3.1,2.8,72.0,3,10,7,0
158,college,4.5,3.4,0.6,95.1,6,10,8,0
159,working_student,4.1,8.9,4.0,63.6,1,5,4,1
160,college,5.6,3.2,1.0,78.7,10,3,12,0
161,school,9.2,2.5,4.0,82.2,6,6,12,0
162,school,9.6,4.2,2.9,88.5,4,4,6,1
163,college,6.6,3.5,3.5,64.1,6,6,8,0
164,school,6.2,2.9,5.2,72.5,3,4,8,0
165,college,6.4,7.1,4.0,98.3,5,4,5,1
166,school,6.5,2.4,5.2,67.1,1,5,7,1
167,working_student,7.6,4.2,1.8,82.1,5,6,11,0
168,working_student,5.3,2.4,4.6,89.7,5,1,9,0
169,college,9.7,3.9,3.5,64.0,5,7,1,1
170,school,7.8,2.3,6.2,90.8,5,7,11,0
171,school,5.9,2.0,4.9,68.4,5,5,2,0
172,working_student,7.2,7.0,5.8,69.8,6,3,6,1
173,college,8.2,2.5,1.7,99.1,5,6,3,0
174,school,7.2,3.0,1.3,87.4,7,7,7,0
175,school,6.7,3.0,2.3,98.1,2,6,7,0
176,working_student,6.5,4.9,0.6,74.8,3,6,5,0
177,college,5.7,3.3,3.3,82.0,7,8,8,0
178,school,6.5,3.0,2.8,97.2,5,8,1,0
179,college,9.6,5.4,5.9,69.8,9,6,6,0
180,college,2.6,3.3,3.7,82.0,8,7,3,1
181,working_student,8.3,6.0,4.1,67.8,5,7,12,0
182,working_student,5.7,8.5,4.6,87.6,8,6,3,1
183,college,7.0,5.1,3.5,97.4,3,7,5,0
184,college,6.2,6.6,3.9,96.6,9,6,4,1
185,school,8.4,2.5,2.5,57.8,9,7,6,1
186,college,6.6,7.6,7.9,91.3,8,7,3,0
187,college,7.2,8.9,2.9,72.0,3,5,3,1
188,working_student,5.3,5.5,1.9,80.6,3,3,8,0
189,college,7.4,5.7,2.6,80.0,5,4,11,0
190,working_student,6.3,7.3,3.7,71.2,5,10,10,1
191,college,6.5,3.0,4.2,95.6,8,3,7,1
192,college,6.3,3.6,4.5,90.5,6,8,3,0
193,school,7.4,4.5,7.4,82.0,7,4,7,0
194,college,7.1,2.5,3.7,95.4,8,4,12,1
195,working_student,4.8,5.4,3.5,68.8,6,10,9,0
196,working_student,4.9,6.8,5.5,100.0,5,6,10,0
197,school,9.2,6.4,3.5,82.0,6,6,8,0
198,school,9.2,2.0,3.9,61.4,5,6,6,0
199,college,2.2,2.0,3.1,90.0,5,6,1,1
200,school,8.6,5.3,6.1,76.3,6,4,3,0
201,school,6.3,1.7,5.5,78.7,5,6,7,0
202,college,6.6,11.6,2.9,72.6,6,7,8,1
203,college,6.5,3.0,1.9,99.9,4,4,7,0
204,school,7.8,4.1,2.6,99.5,6,4,1,0
205,college,6.3,6.0,7.0,100.0,6,9,10,0
206,school,6.8,2.7,3.6,73.1,6,3,7,0
207,college,8.2,4.8,6.1,77.6,8,8,3,1
208,college,5.4,4.5,3.3,62.8,5,6,1,0
209,college,5.5,3.6,7.6,95.4,8,7,11,0
210,college,6.5,1.3,1.3,90.9,8,9,5,1
211,college,4.5,3.8,5.2,82.0,6,4,9,1
212,college,6.7,4.5,7.2,79.6,2,4,4,0
213,college,6.7,2.2,4.3,71.9,3,2,7,0
214,college,7.7,4.4,0.9,68.9,7,10,12,1
215,working_student,6.3,2.3,7.8,90.2,1,2,11,0
216,working_student,5.3,4.5,3.3,71.7,8,1,11,1
217,college,8.9,4.5,2.8,69.8,4,7,3,0
218,college,6.7,2.9,2.2,96.6,8,5,7,0
219,working_student,6.4,5.7,4.7,74.6,4,1,8,0
220,school,6.6,0.4,5.2,74.7,4,6,8,0
221,working_student,7.1,6.0,1.4,69.2,7,6,4,1
222,school,7.8,3.2,2.1,68.5,3,9,11,0
223,working_student,7.6,9.0,0.6,73.9,3,10,7,0
224,college,4.0,4.5,1.3,91.1,5,5,5,1
225,working_student,7.1,7.8,6.3,91.8,9,5,6,1
226,college,7.9,7.6,6.0,93.6,9,8,4,1
227,working_student,5.4,6.9,3.5,74.9,6,9,1,0
228,working_student,7.4,5.6,4.0,73.8,5,8,9,0
229,college,5.8,7.7,3.9,81.6,3,5,11,0
230,college,2.9,6.1,6.2,89.1,6,6,5,1
231,school,7.3,4.6,3.5,86.7,5,6,2,0
232,college,4.2,4.5,3.2,70.3,8,8,7,1
233,working_student,4.7,8.7,3.6,80.5,9,4,11,1
234,college,6.9,2.8,1.1,80.2,2,2,2,0
235,college,7.4,3.8,3.7,70.9,4,10,5,0
236,college,6.5,4.5,3.5,85.7,8,8,8,1
237,school,7.0,3.7,2.8,57.6,7,7,12,1
238,college,5.8,8.4,3.6,98.1,2,7,8,0
239,working_student,5.5,2.6,1.6,97.3,9,5,3,1
240,college,2.9,4.9,4.2,98.7,10,9,6,1
241,college,6.3,4.3,2.6,82.9,2,5,11,0
242,school,8.5,2.1,3.3,59.6,3,6,9,0
243,school,8.9,3.8,8.5,78.2,9,5,7,1
244,college,5.9,7.1,4.5,72.8,4,3,1,0
245,college,6.5,2.8,4.7,75.5,2,2,7,0
246,college,4.2,4.6,2.4,85.7,6,5,12,0
247,school,8.0,4.5,0.2,67.3,4,4,11,0
248,working_student,5.9,6.6,3.1,76.3,8,8,9,1
249,working_student,4.2,9.5,1.7,77.3,3,3,2,0
250,school,7.3,4.5,4.5,82.3,7,6,3,0
251,college,6.4,6.0,6.6,94.9,5,9,7,1
252,school,8.3,4.5,3.4,83.0,2,8,3,0
253,college,6.9,6.3,6.4,63.1,8,5,8,0
254,working_student,6.5,5.0,0.4,85.3,10,10,4,1
255,college,6.9,6.1,2.4,59.7,5,5,1,0
256,college,5.3,4.1,5.3,93.6,6,4,10,0
257,working_student,6.5,10.0,0.8,58.4,7,6,4,1
258,school,7.6,1.0,4.2,79.5,4,3,6,0
259,college,7.0,3.7,3.8,68.9,5,1,12,0
260,school,7.3,3.9,4.0,96.8,9,6,10,0
261,college,6.5,0.7,2.6,81.3,7,6,5,0
262,working_student,7.8,7.0,4.9,79.4,5,6,5,0
263,school,7.7,3.4,0.6,83.3,10,7,4,1
264,college,5.6,4.5,5.9,97.5,6,9,9,1
265,college,6.6,5.6,4.2,82.4,4,5,4,0
266,college,7.7,2.5,4.2,92.8,10,4,11,1
267,working_student,4.7,5.1,3.4,63.9,6,6,11,1
268,school,6.5,3.7,3.8,76.6,7,4,4,0
269,college,3.5,4.3,7.6,74.8,5,8,5,1
270,college,5.7,5.0,6.4,79.6,6,6,12,0
271,school,6.5,0.8,2.6,97.7,5,7,5,0
272,college,4.5,4.9,4.8,94.2,9,4,9,0
273,college,6.0,4.5,5.5,80.5,5,8,6,1
274,college,5.5,8.0,3.8,97.8,6,6,2,0
275,working_student,8.3,4.5,3.2,54.8,7,3,1,0
276,working_student,7.9,3.0,3.5,86.9,3,4,1,1
277,school,6.2,2.3,1.3,75.7,3,7,2,0
278,school,9.0,2.5,6.3,81.5,9,10,1,1
279,school,6.9,2.9,3.5,66.7,2,10,8,0
280,college,6.5,6.3,2.9,98.6,6,3,10,0
281,college,5.3,7.2,0.6,72.9,3,9,4,0
282,school,7.4,2.1,4.2,86.3,6,10,5,0
283,working_student,5.7,6.9,7.8,80.6,2,6,7,0
284,college,7.0,2.9,3.5,73.9,4,4,8,1
285,college,7.1,6.3,3.5,75.1,3,8,1,0
286,college,4.7,2.6,0.3,99.3,2,6,11,0
287,working_student,5.8,3.7,7.5,87.8,5,8,4,0
288,college,6.1,7.1,4.2,82.4,4,7,11,1
289,college,6.0,4.5,3.2,82.0,4,2,7,0
290,college,3.7,2.6,6.0,94.7,7,6,2,0
291,working_student,5.9,6.2,4.7,82.0,4,3,12,1
292,college,6.5,4.5,3.9,87.1,5,8,9,0
293,college,7.1,8.1,1.8,76.8,5,8,1,0
294,college,6.9,2.5,6.7,67.4,8,6,1,1
295,school,6.2,5.6,4.1,96.9,5,2,8,0
296,working_student,5.7,6.0,3.1,83.2,2,10,11,0
297,school,8.7,4.5,3.2,80.5,2,1,8,0
298,school,8.5,3.3,3.7,51.5,7,8,12,0
299,college,6.0,4.5,4.0,78.6,8,9,1,0
300,college,8.0,8.8,0.1,82.2,5,5,3,0
301,college,6.6,7.4,4.1,87.8,1,6,12,0
302,school,7.7,3.4,1.9,73.3,6,6,8,0
303,college,7.0,1.2,3.6,62.3,3,7,9,0
304,working_student,4.7,8.2,3.5,72.8,4,8,7,1
305,college,8.4,3.8,3.2,80.4,6,6,8,0
306,college,6.5,4.9,5.0,72.8,1,5,6,0
307,school,7.1,2.0,3.8,85.5,6,6,3,0
308,working_student,3.5,8.1,3.9,88.3,6,3,11,1
309,school,5.4,2.2,5.5,70.9,6,6,7,0
310,college,6.3,4.4,1.0,84.2,3,6,12,0
311,college,7.1,3.1,3.0,71.0,3,5,6,0
312,college,6.5,3.3,3.9,86.4,3,6,6,0
313,working_student,4.8,4.5,4.8,87.7,6,6,10,0
314,school,7.0,2.9,4.4,81.6,2,7,3,0
315,school,7.8,5.0,4.7,93.7,4,9,7,0
316,college,6.8,5.1,7.4,68.7,6,6,8,0
317,working_student,7.1,7.6,2.4,87.8,6,4,4,1
318,college,6.5,6.3,1.1,93.7,2,8,1,1
319,college,8.4,5.4,5.1,72.7,8,6,12,1
320,college,5.1,3.9,4.6,91.1,8,1,7,1
321,school,6.6,2.4,3.8,120.0,8,2,7,0
322,school,9.8,4.5,7.9,75.4,6,9,7,0
323,working_student,9.1,6.5,3.6,98.0,5,6,12,0
324,college,5.5,8.5,3.5,88.9,7,2,9,1
325,school,8.3,4.0,7.3,90.8,5,7,2,0
326,college,8.8,2.4,5.3,95.8,7,6,3,1
327,college,5.3,5.0,0.1,84.6,4,6,12,0
328,college,4.6,2.0,2.8,82.0,6,6,8,0
329,college,7.3,5.5,4.1,86.9,9,6,2,1
330,working_student,5.3,3.3,0.6,98.3,5,8,11,0
331,working_student,7.1,6.9,1.3,83.7,5,3,2,1
332,college,5.5,7.6,7.5,82.7,3,5,12,1
333,working_student,4.0,5.8,5.3,90.5,1,5,1,0
334,school,7.1,4.5,0.4,88.1,8,8,1,1
335,college,5.9,4.5,3.5,95.9,5,7,9,0
336,college,6.8,6.1,2.2,96.0,6,6,1,0
337,college,6.6,2.6,2.8,99.7,7,5,10,0
338,college,6.5,5.2,3.7,86.0,10,9,5,1
339,school,5.3,1.4,7.2,64.9,6,8,6,0
340,working_student,4.4,5.7,0.8,75.8,5,6,7,0
341,college,7.0,5.8,4.6,72.8,2,9,2,0
342,college,5.4,6.2,0.3,65.1,8,5,10,1
343,college,7.1,7.6,6.4,63.8,10,7,5,1
344,school,8.1,3.3,4.3,54.9,3,7,1,0
345,college,3.4,6.8,2.4,81.5,8,5,4,1
346,college,5.2,4.8,1.5,94.4,1,7,12,0
347,school,6.1,1.9,1.8,96.5,9,8,3,0
348,college,6.2,5.5,8.0,77.5,2,6,2,0
349,school,6.5,3.4,4.3,89.1,3,6,2,0
350,college,8.0,2.4,1.5,78.0,1,7,9,0
351,working_student,6.4,8.2,1.6,66.5,3,4,1,0
352,college,7.4,7.3,5.5,68.6,7,4,4,1
353,college,4.9,7.3,0.7,89.8,7,8,10,0
354,working_student,4.7,5.5,3.7,89.3,3,4,6,0
355,college,6.4,5.8,2.2,82.6,4,9,11,0
356,college,4.7,2.8,4.4,99.9,7,6,11,1
357,college,7.7,1.8,5.2,82.0,2,7,9,1
358,college,6.2,6.1,0.9,91.6,10,2,6,1
359,school,8.9,3.1,3.5,85.7,5,2,11,0
360,college,4.9,3.6,5.9,72.4,4,7,8,0
361,college,7.7,7.0,4.1,78.6,4,5,3,0
362,college,8.3,5.5,6.2,84.8,6,7,7,0
363,college,6.5,4.9,5.1,90.2,5,6,8,0
364,school,8.7,4.3,2.2,86.9,4,6,8,0
365,school,9.4,3.5,0.2,83.3,8,3,6,1
366,college,4.8,3.4,5.4,82.0,5,4,2,1
367,working_student,6.7,2.7,4.4,82.5,4,3,3,0
368,college,6.8,7.4,4.2,67.8,3,8,5,0
369,college,6.5,2.1,8.1,94.0,6,2,2,0
370,working_student,4.3,8.0,3.7,92.6,7,5,6,1
371,school,7.1,4.5,2.9,97.4,9,7,8,0
372,college,7.0,6.4,6.7,90.3,4,7,7,0
373,college,7.8,3.3,0.6,85.9,3,4,6,0
374,school,6.1,2.6,2.5,89.8,4,6,7,0
375,college,7.8,4.9,2.3,84.8,5,4,7,0
376,college,7.7,3.7,2.6,88.8,4,8,7,0
377,college,7.3,6.5,7.4,76.3,6,6,6,0
378,school,6.2,3.7,4.3,70.0,4,6,7,0
379,college,7.1,1.2,6.2,46.6,7,7,4,0
380,working_student,6.5,7.7,0.3,67.6,8,3,10,1
381,college,7.6,3.8,5.1,99.5,2,6,6,0
382,college,6.4,2.8,6.8,82.0,3,10,10,0
383,college,6.5,5.1,3.3,76.2,5,5,1,0
384,school,7.6,4.0,2.6,77.4,10,5,2,1
385,college,7.4,6.3,5.1,70.4,6,9,9,0
386,college,5.9,5.6,4.6,70.1,5,6,9,0
387,college,2.8,4.0,3.6,82.0,2,6,3,0
388,college,6.8,0.4,5.6,86.2,1,3,4,0
389,working_student,5.9,5.6,3.8,99.8,8,6,7,1
390,college,8.1,4.5,3.2,66.9,5,6,1,0
391,working_student,8.4,5.4,5.9,91.7,5,4,1,0
392,college,8.0,5.4,4.9,80.5,2,8,8,0
393,college,7.9,1.7,3.6,87.7,6,7,11,0
394,college,6.7,8.0,5.1,68.0,7,8,12,1
395,college,6.1,6.1,5.6,90.6,6,3,4,1
396,college,8.1,6.0,6.3,95.7,4,1,4,1
397,college,4.7,3.8,3.8,88.7,9,8,6,1
398,college,5.7,3.7,3.0,66.2,6,7,3,0
399,college,5.3,3.9,5.0,83.9,4,8,7,0
400,college,6.5,4.9,6.1,67.0,1,7,1,0
401,college,6.1,3.2,1.7,69.8,5,8,2,0
402,school,5.4,5.7,3.4,82.5,1,8,6,0
403,college,5.8,2.6,5.2,76.4,5,7,7,0
404,school,6.6,2.8,5.1,83.1,8,6,11,1
405,working_student,4.8,5.2,4.3,99.9,9,6,9,1
406,working_student,5.3,8.0,0.0,81.9,2,7,4,0
407,working_student,6.3,5.3,2.3,105.0,5,6,9,0
408,working_student,8.5,1.7,3.2,98.7,2,5,7,0
409,college,4.8,4.2,6.3,87.6,4,1,11,1
410,working_student,6.5,5.4,4.2,97.8,5,7,4,1
411,college,5.7,3.1,1.8,98.8,6,4,5,1
412,college,5.8,5.2,7.7,66.3,2,6,2,0
413,school,7.2,4.3,0.4,75.0,5,3,7,0
414,college,5.7,6.9,3.8,84.1,10,8,2,1
415,working_student,5.9,6.0,4.0,90.3,6,6,3,1
416,working_student,7.5,4.6,4.9,81.6,4,7,1,0
417,working_student,2.5,6.4,1.9,78.8,1,9,3,0
418,college,9.0,6.6,3.2,63.6,5,5,1,0
419,school,6.9,2.1,7.2,73.2,4,4,11,0
420,college,6.3,3.7,3.4,72.9,7,8,4,1
421,working_student,5.9,1.1,3.6,80.3,4,6,9,0
422,school,7.1,2.0,1.0,96.8,4,3,5,0
423,college,5.8,6.3,0.9,81.9,5,3,1,0
424,college,6.7,0.6,5.9,81.4,1,7,2,0
425,college,6.2,4.3,1.2,91.9,5,10,7,0
426,school,7.8,4.5,3.3,79.0,6,9,1,0
427,college,7.9,6.6,3.7,83.7,7,7,4,1
428,college,5.2,4.9,3.1,94.3,4,7,12,0
429,college,7.9,5.2,5.9,63.6,5,4,7,0
430,working_student,6.1,4.5,3.1,66.3,8,5,6,1
431,college,4.1,6.4,4.8,85.1,4,4,8,1
432,college,5.5,3.1,2.9,90.4,2,5,7,0
433,college,8.5,4.0,7.5,93.4,9,2,3,1
434,college,9.4,3.1,3.5,73.5,4,8,7,0
435,school,6.5,5.0,4.7,76.9,8,6,11,1
436,school,8.2,1.0,6.5,82.0,5,8,1,0
437,school,7.5,2.6,2.7,78.4,4,6,6,0
438,college,6.5,7.3,5.6,90.6,2,8,10,0
439,school,6.2,2.5,2.5,83.4,5,9,7,0
440,college,7.5,2.2,3.2,76.8,9,6,3,1
441,college,4.4,5.2,4.3,93.1,4,6,10,0
442,working_student,4.5,10.3,5.5,81.6,6,4,7,1
443,college,8.9,1.9,1.2,76.6,7,3,9,0
444,school,7.9,3.3,4.2,77.5,7,9,11,0
445,college,8.2,6.3,5.4,88.2,1,9,3,0
446,school,7.4,1.9,3.4,69.2,7,6,4,0
447,working_student,7.9,8.4,6.9,79.1,4,5,1,1
448,school,6.9,2.1,2.4,95.7,2,7,12,0
449,college,6.5,4.5,3.3,82.0,6,5,4,0
450,school,6.4,2.2,5.8,59.7,8,6,3,1
451,school,7.3,1.7,2.2,78.5,7,8,12,0
452,school,9.3,3.0,0.4,88.6,7,5,9,1
453,college,5.6,5.0,3.0,86.2,5,2,7,1
454,working_student,7.2,12.0,2.4,64.8,6,2,8,0
455,school,8.4,2.8,3.7,64.7,8,3,7,0
456,college,3.6,8.9,3.5,105.0,4,9,10,1
457,college,6.3,2.4,3.6,84.4,4,5,12,0
458,college,6.4,4.1,1.4,98.9,5,6,12,0
459,college,8.0,5.3,5.9,84.2,6,8,6,0
460,college,6.5,1.9,4.4,63.3,5,7,10,0
461,working_student,3.5,5.4,3.9,89.1,8,1,12,1
462,college,9.6,3.7,2.9,69.5,6,5,3,0
463,school,6.4,0.4,7.6,70.4,3,8,2,0
464,college,4.8,2.1,4.6,99.8,7,7,5,1
465,college,6.7,4.5,4.7,95.8,6,5,7,0
466,school,7.3,1.9,4.8,80.9,4,10,10,0
467,college,6.7,5.0,7.3,93.0,6,8,12,0
468,college,6.0,4.8,0.5,73.0,1,8,7,0
469,school,6.2,2.5,1.8,83.7,5,7,1,0
470,college,4.4,5.1,6.2,105.0,7,5,9,1
471,working_student,5.7,6.0,2.0,62.7,1,7,7,0
472,college,7.8,2.6,1.0,96.7,5,5,1,0
473,college,7.8,5.1,3.7,93.2,8,5,7,1
474,college,5.0,3.0,0.2,73.1,2,5,12,0
475,college,7.4,7.3,4.0,97.7,6,2,9,0
476,college,5.4,5.2,1.5,79.1,7,4,7,1
477,college,6.3,1.1,4.1,72.8,7,7,9,0
478,college,6.4,7.1,6.3,98.2,5,2,2,1
479,college,6.5,4.6,3.4,77.5,4,7,4,0
480,college,5.5,1.2,3.4,82.5,10,2,12,1
481,school,6.5,3.5,5.0,73.5,5,7,7,0
482,college,4.3,4.3,0.0,96.4,6,9,5,0
483,college,3.6,5.3,4.1,79.1,5,7,2,0
484,working_student,4.9,4.8,0.8,88.3,7,3,2,0
485,school,6.5,1.8,2.5,90.2,9,6,1,0
486,college,8.2,3.5,2.9,91.7,5,6,4,0
487,school,7.8,4.0,3.5,62.9,3,3,12,0
488,college,6.5,4.5,1.6,78.5,5,3,5,0
