Order Date,Product Name,Category,Region,Quantity,Sales,Profit
2023-10-20,Printer,Office,,5.0,3910.0,538.52
N/A,Camera,Electronics,South,1.0,219.0,32.67
12/05/2022,Smartphone,Electronics,West,5.0,390.0,27.77
2022-08-05,Laptop,Electronics,North,6.0,,359.61
2023-03-21,Keyboard,Accessories,West,4.0,4572.0,1038.05
2022-02-08,Monitor,Accessories,South,7.0,980.0,109.94
01-04-2023,Headphones,Accessories,North,2.0,2262.0,532.12
2022/12/14,Camera,Electronics,South,7.0,7518.0,1655.91
05/14/2022,Camera,Electronics,South,1.0,873.0,158.97
2022-02-16,Mouse,Accessories,North,6.0,1512.0,423.03
2024-08-28,Unknown,Electronics,West,1.0,705.0,165.16
N/A,Smartwatch,Electronics,North,8.0,3256.0,533.7
06/24/2023,Tablet,Electronics,,4.0,556.0,81.77
N/A,,Accessories,East,9.0,7101.0,2105.82
"Apr 06, 2023",Laptop,Electronics,West,9.0,8802.0,1344.96
2023-03-26,,Accessories,,6.0,5592.0,1294.16
2024/10/12,Tablet,Electronics,North,2.0,1852.0,168.92
26-06-2022,Monitor,Accessories,East,1.0,195.0,57.88
04/15/2022,Mouse,Accessories,East,9.0,7884.0,2054.02
2023-12-10,Laptop,Electronics,East,5.0,4360.0,
23-09-2024,Mouse,Accessories,North,6.0,4920.0,929.18
2022-01-01,Mouse,Accessories,,3.0,3474.0,565.0
02/03/2022,Keyboard,Accessories,West,1.0,930.0,222.5
03/14/2023,Tablet,Electronics,South,7.0,1421.0,248.02
N/A,Headphones,Accessories,North,2.0,634.0,161.1
"Jul 07, 2024",Camera,Electronics,East,1.0,673.0,
2022-04-13,Unknown,Accessories,South,5.0,3135.0,787.7
05/08/2024,Smartphone,Electronics,East,6.0,882.0,184.48
2024-09-10,Smartphone,Electronics,East,4.0,1192.0,212.77
,Unknown,Office,South,3.0,390.0,112.08
"Sep 10, 2024",Tablet,Electronics,North,1.0,834.0,95.54
2022-05-06,Smartphone,Electronics,East,6.0,612.0,83.75
18-06-2024,Headphones,Accessories,West,9.0,8073.0,710.23
29-10-2023,Keyboard,Accessories,North,8.0,2640.0,723.88
2023-11-13,Smartphone,Electronics,North,3.0,,440.7
2022/08/21,Monitor,Accessories,West,5.0,4435.0,
03/04/2024,Smartwatch,Electronics,North,2.0,2302.0,305.07
2022/04/17,Camera,Electronics,East,6.0,1728.0,307.44
12/20/2023,Laptop,Electronics,East,4.0,228.0,54.05
2022-03-19,Tablet,Electronics,West,6.0,3450.0,705.74
2024-07-07,Smartphone,Electronics,South,8.0,7456.0,1702.48
2023-04-30,Smartphone,,?,6.0,4728.0,705.85
,Smartwatch,Electronics,North,7.0,945.0,124.62
"Mar 08, 2022",,Electronics,North,4.0,296.0,65.05
"Sep 15, 2023",Smartphone,,West,4.0,640.0,149.89
2023-03-01,Tablet,Electronics,North,1.0,,65.27
2023-10-24,Unknown,Accessories,North,4.0,1456.0,431.89
"Apr 22, 2024",Monitor,Accessories,South,6.0,4038.0,364.11
,Tablet,Electronics,West,7.0,5656.0,355.81
2023-04-13,Mouse,Accessories,West,4.0,3876.0,302.37
05/19/2023,Keyboard,Accessories,South,6.0,1002.0,114.7
2024-11-15,Headphones,Accessories,East,9.0,2187.0,
2023/12/25,Mouse,,North,6.0,7146.0,1627.42
2022/03/31,Keyboard,Accessories,South,1.0,189.0,14.88
2024-04-24,Monitor,Accessories,East,5.0,940.0,266.02
01/10/2022,Headphones,Accessories,North,1.0,951.0,127.58
11/17/2022,Printer,Office,East,2.0,124.0,27.42
2024-06-29,Mouse,Accessories,West,9.0,7506.0,594.28
"Nov 14, 2022",Monitor,Accessories,West,7.0,8176.0,2308.76
08/11/2023,Smartphone,Electronics,East,5.0,2125.0,632.68
2024-05-22,,Accessories,North,1.0,967.0,59.98
03/19/2022,Headphones,Accessories,South,5.0,270.0,29.41
2022/10/23,Keyboard,Accessories,West,9.0,10035.0,1486.3
2023-02-26,Printer,Office,North,8.0,6792.0,1125.23
2024-10-03,Printer,Office,East,1.0,714.0,99.13
N/A,Smartphone,Electronics,South,5.0,765.0,157.64
04-11-2024,Headphones,Accessories,East,7.0,4221.0,358.02
02/24/2023,Laptop,Electronics,North,4.0,2108.0,576.48
08/08/2024,Monitor,Accessories,North,9.0,10530.0,2387.63
2024-05-14,Keyboard,,South,6.0,3396.0,914.17
2022-01-15,Monitor,Accessories,North,4.0,1060.0,213.05
2022-05-10,Tablet,Electronics,East,5.0,480.0,73.07
10-03-2022,Headphones,Accessories,West,3.0,2529.0,285.65
2022-01-23,Smartwatch,Electronics,East,8.0,4792.0,511.97
2024-09-19,Smartwatch,Electronics,East,8.0,,605.8
2024-06-06,Tablet,Electronics,North,4.0,4228.0,947.76
10-10-2024,Tablet,Electronics,East,,653.0,93.78
2024-03-24,Tablet,Electronics,North,9.0,7452.0,1212.51
,Mouse,,East,4.0,4128.0,1156.71
"Jul 21, 2022",Tablet,Electronics,West,5.0,5090.0,1201.56
2022-09-01,Camera,Electronics,North,5.0,4930.0,387.33
2023-04-20,Smartwatch,Electronics,South,,2610.0,434.37
11-12-2023,Laptop,Electronics,North,3.0,2139.0,415.84
2024-09-29,,,South,1.0,226.0,55.4
2023-11-20,Smartwatch,Electronics,West,2.0,2244.0,212.08
,Monitor,Accessories,East,6.0,3150.0,
24-12-2023,,,South,7.0,,347.19
08/13/2023,Laptop,Electronics,East,8.0,8736.0,580.31
2022/04/24,Smartphone,Electronics,South,2.0,1102.0,176.53
"Jul 13, 2024",Monitor,Accessories,East,,2640.0,199.97
2022-06-11,Printer,Office,West,3.0,2547.0,300.74
2024-10-28,Laptop,Electronics,North,7.0,728.0,64.82
11/24/2022,Camera,Electronics,South,7.0,3444.0,607.44
10/03/2024,Camera,Electronics,West,5.0,3140.0,853.66
03/24/2024,Smartphone,Electronics,?,3.0,435.0,129.27
2024/06/28,Keyboard,Accessories,East,4.0,856.0,72.99
31-05-2022,Printer,Office,North,2.0,112.0,23.33
N/A,Headphones,Accessories,North,3.0,2247.0,507.79
2023-01-31,Keyboard,Accessories,West,2.0,1512.0,298.73
06/23/2024,Mouse,Accessories,South,5.0,4915.0,1196.6
2023-08-16,Mouse,Accessories,South,3.0,2709.0,663.54
"Jun 10, 2023",Tablet,Electronics,North,7.0,1239.0,118.36
2023-05-09,Unknown,Electronics,West,2.0,572.0,86.16
2022-05-08,Smartwatch,Electronics,North,2.0,1708.0,93.25
11/06/2024,Smartwatch,,North,4.0,360.0,42.66
12/08/2022,Camera,Electronics,North,6.0,3822.0,388.34
2022-09-25,Camera,Electronics,North,6.0,4680.0,932.97
2024-07-10,Camera,Electronics,North,5.0,2520.0,487.18
,Smartwatch,Electronics,North,2.0,2138.0,619.29
01/11/2022,Keyboard,Accessories,West,3.0,2529.0,169.6
"Apr 08, 2022",Keyboard,,East,1.0,236.0,29.33
21-01-2024,Tablet,Electronics,West,6.0,2730.0,636.48
2023-04-27,Headphones,Accessories,North,3.0,3021.0,872.49
N/A,Smartwatch,Electronics,North,2.0,244.0,16.78
"May 11, 2022",Camera,Electronics,South,8.0,728.0,120.06
N/A,Mouse,Accessories,North,3.0,453.0,89.49
,Laptop,Electronics,South,1.0,379.0,84.38
"Jan 09, 2023",Tablet,Electronics,?,3.0,2130.0,510.69
2023-05-04,Monitor,Accessories,North,8.0,4120.0,710.11
09/07/2024,Smartwatch,Electronics,South,7.0,3150.0,299.7
2022-05-17,,Electronics,East,7.0,2688.0,603.07
08/17/2023,Tablet,Electronics,East,2.0,1752.0,501.19
2023-09-07,Keyboard,Accessories,?,7.0,7308.0,
2022-05-11,,Electronics,North,3.0,2007.0,160.84
N/A,Tablet,Electronics,West,7.0,,479.23
2023-05-08,Monitor,,South,9.0,6939.0,1249.31
2023/02/18,Smartphone,Electronics,East,7.0,5516.0,1475.67
01/29/2022,Printer,Office,South,2.0,2224.0,116.47
01/12/2023,Laptop,Electronics,South,5.0,3985.0,824.4
N/A,Camera,Electronics,North,7.0,2723.0,638.26
N/A,Tablet,,North,,746.0,170.75
21-08-2024,Laptop,Electronics,West,5.0,3170.0,245.25
2023/12/11,Smartwatch,Electronics,East,5.0,550.0,63.11
2022-08-14,Tablet,Electronics,North,,480.0,132.45
2024-06-03,Printer,,East,4.0,3284.0,354.4
N/A,Smartwatch,Electronics,South,2.0,1748.0,183.75
20-11-2023,Headphones,Accessories,North,8.0,824.0,240.84
03/03/2022,Headphones,Accessories,North,4.0,1872.0,448.46
2024/02/20,Tablet,Electronics,West,3.0,627.0,103.98
2024-08-09,Camera,Electronics,East,9.0,5661.0,1104.02
19-06-2022,Camera,Electronics,North,3.0,2910.0,765.47
09/01/2024,Tablet,Electronics,South,9.0,9036.0,1087.46
"Aug 30, 2024",Tablet,Electronics,West,5.0,,338.31
2022-08-12,Mouse,Accessories,South,1.0,,206.28
N/A,Headphones,Accessories,East,3.0,3339.0,732.92
2024-02-20,Tablet,Electronics,,1.0,620.0,165.43
2023-02-26,Camera,Electronics,West,5.0,2025.0,414.42
20-11-2024,Printer,Office,,5.0,3030.0,811.92
12-08-2023,Smartwatch,Electronics,North,5.0,655.0,166.69
2022-01-17,Printer,Office,West,2.0,2238.0,294.54
2023-04-12,Smartphone,Electronics,South,8.0,3312.0,811.31
"Jul 26, 2023",Printer,Office,East,9.0,9387.0,1271.64
2024-01-01,Unknown,Accessories,West,6.0,5790.0,1285.21
06-12-2023,Laptop,Electronics,South,6.0,2700.0,527.97
05-12-2023,Smartwatch,Electronics,East,8.0,2072.0,555.06
10/27/2024,Keyboard,Accessories,North,3.0,2991.0,716.54
04-08-2024,Laptop,Electronics,East,6.0,5568.0,
02/01/2023,Unknown,Electronics,North,7.0,5509.0,1648.74
,Printer,Office,West,7.0,5922.0,1323.1
2024-04-28,,,South,4.0,4380.0,362.81
2022/03/25,Tablet,Electronics,,5.0,1760.0,
2024-10-05,Headphones,Accessories,North,9.0,,1523.81
2024-12-19,Tablet,Electronics,South,2.0,1082.0,182.1
18-07-2022,Camera,Electronics,East,1.0,569.0,138.11
2023-06-11,Mouse,Accessories,North,,3416.0,697.42
2024-10-13,Printer,Office,West,1.0,570.0,57.07
2023/08/07,Unknown,Accessories,East,6.0,3300.0,386.92
2022-12-04,Laptop,Electronics,South,8.0,2584.0,568.77
02/18/2024,Monitor,Accessories,South,9.0,7650.0,2204.44
N/A,Headphones,Accessories,West,8.0,3600.0,272.51
N/A,Monitor,Accessories,West,6.0,846.0,190.87
2023-08-12,Smartphone,Electronics,West,1.0,51.0,9.36
2024-05-20,Smartwatch,Electronics,,6.0,7056.0,586.91
2024-06-05,Smartwatch,Electronics,West,2.0,384.0,38.41
,Laptop,Electronics,South,8.0,2928.0,663.54
"Dec 17, 2023",Camera,Electronics,West,,1904.0,352.86
"Sep 08, 2022",Tablet,Electronics,East,2.0,2314.0,312.07
2022-01-22,Printer,Office,South,4.0,1028.0,192.13
2024-09-04,Headphones,Accessories,,9.0,8307.0,1326.23
"Jan 20, 2024",Printer,Office,West,9.0,1539.0,203.54
2022/11/03,Tablet,Electronics,West,7.0,2506.0,537.98
03-07-2023,Smartphone,Electronics,West,6.0,5778.0,
N/A,Tablet,Electronics,East,9.0,10188.0,2165.78
11-05-2024,Monitor,Accessories,North,1.0,952.0,157.7
2024-01-02,Smartwatch,Electronics,West,8.0,3624.0,750.86
"Feb 24, 2023",Keyboard,Accessories,South,8.0,7968.0,1551.12
2024-07-20,Mouse,,South,2.0,1254.0,250.09
14-06-2023,Printer,Office,West,3.0,705.0,196.05
,Mouse,Accessories,,1.0,916.0,223.5
2024-10-01,Printer,Office,North,2.0,848.0,129.96
2022-05-10,Monitor,Accessories,East,,2240.0,313.17
2022-01-28,Monitor,Accessories,South,1.0,940.0,120.35
05-04-2023,Headphones,Accessories,West,5.0,1550.0,
2023-09-22,Keyboard,Accessories,South,7.0,2352.0,256.4
29-08-2024,Smartwatch,Electronics,North,9.0,1638.0,183.75
2023/11/18,Camera,Electronics,North,6.0,7164.0,1442.72
2023-09-12,Mouse,Accessories,East,1.0,205.0,54.54
26-05-2023,Keyboard,,North,2.0,766.0,49.23
2023-04-30,Keyboard,Accessories,North,1.0,168.0,
11/01/2024,Mouse,Accessories,South,1.0,1058.0,207.55
,,Accessories,South,5.0,1455.0,423.81
"May 10, 2023",Camera,Electronics,East,2.0,2224.0,364.04
2022-11-04,Smartphone,Electronics,West,,1400.0,80.49
05/09/2022,Smartphone,Electronics,East,7.0,7567.0,2213.18
2022-11-07,Tablet,Electronics,East,6.0,3396.0,987.68
2023-08-11,,Electronics,East,2.0,704.0,135.63
2024/10/21,,Electronics,East,9.0,,2172.19
06-10-2024,Mouse,Accessories,West,5.0,2050.0,157.13
2023-08-08,Monitor,Accessories,North,9.0,10458.0,2799.48
2022/01/19,Camera,,South,4.0,4700.0,619.26
30-04-2024,Smartphone,Electronics,North,2.0,892.0,
12/26/2023,Laptop,Electronics,East,8.0,6968.0,1479.09
2024-04-07,Laptop,Electronics,North,7.0,,300.88
2022-10-18,Camera,Electronics,West,1.0,354.0,65.99
"Apr 21, 2024",Monitor,Accessories,South,3.0,3051.0,662.23
,Camera,Electronics,South,3.0,402.0,106.87
10/31/2022,Monitor,Accessories,North,5.0,3570.0,517.82
"Mar 03, 2023",Keyboard,Accessories,North,7.0,3829.0,876.35
03-02-2023,Mouse,Accessories,North,7.0,4676.0,242.64
2023-04-15,Keyboard,Accessories,,3.0,1119.0,317.36
2023-05-09,Smartphone,Electronics,East,4.0,4228.0,764.3
2022-01-02,Headphones,Accessories,North,8.0,1240.0,251.2
"Nov 28, 2024",Keyboard,Accessories,North,9.0,3591.0,342.18
2022/02/05,Printer,Office,West,8.0,3952.0,451.08
"Jun 05, 2024",Keyboard,Accessories,,6.0,3648.0,1050.08
"Nov 15, 2024",Monitor,Accessories,?,5.0,3875.0,768.74
2023-11-13,Smartwatch,Electronics,West,8.0,3416.0,478.9
2022-02-19,,Electronics,West,1.0,908.0,222.58
2024-05-06,Headphones,Accessories,South,4.0,4532.0,987.32
2023/08/04,Headphones,Accessories,East,4.0,4168.0,650.15
"Sep 23, 2023",Laptop,Electronics,North,3.0,3543.0,941.37
09/14/2024,Laptop,Electronics,,6.0,5124.0,1078.57
17-03-2023,Smartwatch,Electronics,South,9.0,,1196.23
2023-09-29,Camera,Electronics,East,2.0,624.0,139.64
,Camera,Electronics,South,1.0,508.0,151.29
"Sep 13, 2023",Headphones,Accessories,South,4.0,4700.0,914.6
N/A,Keyboard,Accessories,West,8.0,,639.78
"Jul 15, 2023",Laptop,Electronics,West,6.0,2844.0,581.0
"May 29, 2022",Smartphone,Electronics,West,5.0,2385.0,258.6
2023-01-16,Monitor,Accessories,South,8.0,928.0,170.05
2023/09/06,Headphones,Accessories,North,6.0,4656.0,673.35
2023-03-29,Headphones,Accessories,North,,330.0,21.46
,Camera,Electronics,North,7.0,1799.0,274.11
"Aug 25, 2022",Printer,Office,East,1.0,1029.0,173.61
"Dec 30, 2022",Headphones,Accessories,North,8.0,5432.0,1619.39
"Sep 04, 2024",Camera,Electronics,West,5.0,5785.0,1191.11
2024-01-08,Printer,Office,North,1.0,1062.0,272.42
2022/12/27,,Accessories,North,1.0,163.0,
2024-04-14,Smartphone,Electronics,West,9.0,9162.0,1625.62
"Feb 10, 2023",,Office,East,4.0,1440.0,130.24
"Jul 15, 2023",,Accessories,South,5.0,1465.0,149.62
2024-10-27,Monitor,Accessories,,2.0,366.0,31.23
"Jul 19, 2024",Camera,Electronics,South,5.0,3135.0,277.28
03/03/2024,Keyboard,Accessories,North,2.0,630.0,161.04
2024-04-12,Monitor,Accessories,South,1.0,213.0,42.94
2024/06/20,Monitor,Accessories,North,4.0,3792.0,1092.85
2023-06-21,Mouse,,East,2.0,1932.0,
2023-01-25,Keyboard,Accessories,West,4.0,4152.0,317.28
2024-02-17,Smartphone,Electronics,North,7.0,3612.0,529.57
2024-09-09,Smartphone,,East,2.0,2258.0,280.76
"Jul 09, 2022",Camera,Electronics,South,3.0,,47.73
N/A,Headphones,Accessories,West,7.0,8071.0,1799.06
2024-03-30,,Accessories,North,7.0,5838.0,631.45
22-12-2024,Keyboard,,?,4.0,692.0,181.31
2024-09-08,Keyboard,Accessories,South,3.0,1704.0,309.06
N/A,Printer,Office,South,5.0,3235.0,941.24
10/12/2023,Mouse,Accessories,,6.0,4746.0,545.57
,Smartwatch,Electronics,South,8.0,7600.0,788.88
2023-11-03,Smartphone,Electronics,West,5.0,1935.0,128.01
N/A,Laptop,Electronics,North,3.0,1638.0,306.29
2023-06-30,Keyboard,Accessories,West,7.0,4746.0,816.6
N/A,,Electronics,North,8.0,4824.0,1187.93
2022-05-09,Camera,Electronics,South,1.0,1193.0,153.72
2023-12-16,Laptop,Electronics,East,2.0,562.0,92.94
03/20/2022,Smartphone,Electronics,North,8.0,6200.0,1296.84
2024/07/28,Printer,Office,North,8.0,4128.0,315.48
2022-03-28,Printer,Office,East,5.0,5405.0,326.56
06-11-2024,Laptop,Electronics,North,3.0,1371.0,104.66
01/01/2023,Keyboard,Accessories,West,5.0,1405.0,194.33
2023-03-18,Keyboard,Accessories,?,3.0,1644.0,158.32
18-09-2024,Mouse,Accessories,West,6.0,3414.0,396.92
2024-08-19,Laptop,Electronics,East,,3272.0,674.57
2022/06/18,Smartphone,Electronics,North,3.0,2655.0,646.91
2022-05-29,Smartwatch,Electronics,West,7.0,1673.0,458.32
,Tablet,Electronics,East,2.0,846.0,145.09
05/03/2023,Smartphone,Electronics,East,1.0,985.0,
2023/11/17,,Electronics,North,9.0,7551.0,894.4
2022/02/08,Tablet,Electronics,North,5.0,855.0,217.16
23-10-2023,Camera,Electronics,South,2.0,396.0,94.55
2022-08-24,Tablet,,West,8.0,2296.0,560.48
2024-05-09,Monitor,Accessories,North,6.0,1704.0,199.94
12-03-2023,Smartphone,Electronics,East,2.0,1180.0,261.16
2022-10-05,,Electronics,East,3.0,411.0,55.73
2022-01-19,Mouse,Accessories,East,1.0,745.0,151.22
"May 09, 2022",Printer,,West,9.0,,961.3
2024/05/23,Mouse,Accessories,South,3.0,1494.0,178.5
2024-07-11,Camera,Electronics,South,5.0,1755.0,358.01
2022-08-22,Camera,Electronics,South,9.0,4941.0,894.52
11/03/2024,Smartwatch,Electronics,North,6.0,6510.0,1539.18
10/11/2024,Smartphone,Electronics,South,5.0,5465.0,719.92
2024-11-09,Tablet,Electronics,South,3.0,3522.0,285.91
2024-04-01,Tablet,Electronics,West,6.0,1656.0,139.86
07/07/2022,Unknown,,North,5.0,1255.0,257.15
,Keyboard,Accessories,East,1.0,1192.0,320.13
15-05-2023,Tablet,Electronics,West,5.0,1925.0,204.74
,Tablet,Electronics,West,8.0,,337.33
26-06-2023,Headphones,Accessories,?,1.0,260.0,16.81
2022-01-19,Monitor,Accessories,West,5.0,4880.0,1250.66
04/10/2024,Keyboard,Accessories,West,7.0,1134.0,179.74
2022-06-10,Laptop,Electronics,North,9.0,9621.0,1201.29
2023-02-03,Monitor,Accessories,South,4.0,2836.0,698.83
05/15/2023,Printer,Office,North,9.0,5859.0,1153.89
11-09-2022,Unknown,Electronics,South,2.0,,460.03
01-07-2023,Monitor,Accessories,South,1.0,612.0,174.52
02/18/2022,Smartwatch,Electronics,North,3.0,1890.0,492.31
09/30/2023,Smartwatch,Electronics,East,5.0,,168.82
2023-09-04,Printer,Office,South,2.0,1960.0,312.06
07/07/2022,Camera,Electronics,North,6.0,4410.0,893.27
,Keyboard,Accessories,West,8.0,8272.0,
2022/09/27,Smartwatch,Electronics,West,6.0,5712.0,638.29
2024-04-20,Smartwatch,Electronics,North,6.0,,178.36
2024-05-24,Keyboard,Accessories,North,8.0,,1057.41
12/29/2024,,Accessories,East,4.0,2956.0,451.6
07-05-2023,Smartphone,Electronics,West,8.0,7944.0,2257.73
2024-09-10,Camera,Electronics,North,5.0,1815.0,535.22
"Mar 21, 2023",Headphones,,North,,2706.0,546.97
2023/05/05,Laptop,Electronics,North,2.0,1356.0,
27-07-2023,Printer,,South,6.0,6384.0,1189.19
2023-06-13,Smartwatch,Electronics,South,9.0,4248.0,964.12
2024-05-02,Unknown,Accessories,North,6.0,3954.0,676.82
2024-04-21,Smartphone,Electronics,South,6.0,7110.0,739.6
2023-07-25,Unknown,Accessories,South,7.0,8113.0,995.03
01/26/2023,Headphones,Accessories,North,3.0,1830.0,183.62
"Jan 11, 2023",Keyboard,Accessories,West,4.0,3732.0,671.19
2024-09-27,Mouse,Accessories,West,6.0,4062.0,1087.17
12/03/2024,Smartwatch,Electronics,North,1.0,496.0,93.31
24-08-2023,Smartwatch,Electronics,East,4.0,1104.0,84.31
2023-05-19,Smartphone,Electronics,West,3.0,2274.0,662.0
13-06-2022,Smartwatch,Electronics,North,,4456.0,1106.04
08/26/2022,Mouse,Accessories,West,8.0,4928.0,1038.18
2023-01-22,Smartphone,,North,4.0,1740.0,224.79
08-08-2022,Headphones,Accessories,North,2.0,178.0,31.46
2023-11-19,Printer,Office,East,8.0,,
2023/06/28,Mouse,Accessories,North,4.0,4156.0,847.09
2024/10/09,Printer,Office,North,1.0,624.0,106.92
2022-09-04,Smartphone,Electronics,West,4.0,3892.0,1052.72
07/18/2024,Mouse,Accessories,South,9.0,1620.0,294.6
2022-09-22,Mouse,Accessories,West,3.0,,301.97
N/A,Monitor,Accessories,West,2.0,1390.0,316.31
04/21/2023,Camera,Electronics,,5.0,5155.0,1325.16
2022-07-09,Smartwatch,Electronics,North,5.0,1025.0,262.91
2024-07-31,Mouse,Accessories,South,3.0,1785.0,244.52
"Sep 30, 2022",Smartwatch,Electronics,North,9.0,2952.0,605.85
12/25/2024,Headphones,Accessories,East,,773.0,181.52
"Mar 30, 2023",Tablet,Electronics,North,,1640.0,361.48
02-10-2023,Keyboard,Accessories,East,1.0,1017.0,69.33
N/A,Headphones,Accessories,East,4.0,1964.0,349.91
05-04-2023,Mouse,Accessories,North,3.0,2994.0,638.59
N/A,Printer,Office,East,9.0,8046.0,2210.33
"May 22, 2022",Printer,Office,West,2.0,1874.0,271.5
19-08-2023,Mouse,,North,8.0,6008.0,871.76
2023/09/06,Camera,Electronics,East,8.0,7240.0,411.19
06/17/2024,Monitor,Accessories,South,9.0,1188.0,348.31
"Dec 22, 2024",Headphones,Accessories,North,9.0,2997.0,163.34
02/02/2023,Printer,Office,West,9.0,7524.0,2017.85
"Oct 13, 2022",Monitor,,North,5.0,3625.0,268.73
