,Order Date,Product Name,Category,Region,Quantity,Sales,Profit,percentage
109,2022-01-23,Smartwatch,Electronics,East,8.0,4792.0,511.97,10.683848080133556
110,2024-06-06,Tablet,Electronics,North,4.0,4228.0,947.76,22.4162724692526
111,2024-03-24,Tablet,Electronics,North,9.0,7452.0,1212.51,16.27093397745572
112,2022-07-21,Tablet,Electronics,West,5.0,5090.0,1201.56,23.606286836935165
113,2022-09-01,Camera,Electronics,North,5.0,4930.0,387.33,7.85659229208925
114,2023-11-12,Laptop,Electronics,North,3.0,2139.0,415.84,19.440860215053764
115,2023-11-20,Smartwatch,Electronics,West,2.0,2244.0,212.08,9.450980392156863
116,2023-08-13,Laptop,Electronics,East,8.0,8736.0,580.31,6.6427426739926725
117,2022-04-24,Smartphone,Electronics,South,2.0,1102.0,176.53,16.01905626134301
118,2022-06-11,Printer,Office,West,3.0,2547.0,300.74,11.807616804083237
119,2024-10-28,Laptop,Electronics,North,7.0,728.0,64.82,8.903846153846153
120,2022-11-24,Camera,Electronics,South,7.0,3444.0,607.44,17.637630662020907
121,2024-10-03,Camera,Electronics,West,5.0,3140.0,853.66,27.18662420382166
122,2024-03-24,Smartphone,Electronics,West,3.0,435.0,129.27,29.717241379310348
123,2024-06-28,Keyboard,Accessories,East,4.0,856.0,72.99,8.526869158878505
124,2022-05-31,Printer,Office,North,2.0,112.0,23.33,20.830357142857142
125,2023-01-31,Keyboard,Accessories,West,2.0,1512.0,298.73,19.757275132275133
126,2024-06-23,Mouse,Accessories,South,5.0,4915.0,1196.6,24.34587995930824
127,2023-08-16,Mouse,Accessories,South,3.0,2709.0,663.54,24.49390919158361
128,2023-06-10,Tablet,Electronics,North,7.0,1239.0,118.36,9.552865213882162
129,2023-05-09,Unknown,Electronics,West,2.0,572.0,86.16,15.062937062937062
130,2022-05-08,Smartwatch,Electronics,North,2.0,1708.0,93.25,5.459601873536299
131,2022-12-08,Camera,Electronics,North,6.0,3822.0,388.34,10.160648874934589
132,2022-09-25,Camera,Electronics,North,6.0,4680.0,932.97,19.93525641025641
133,2024-07-10,Camera,Electronics,North,5.0,2520.0,487.18,19.332539682539682
134,2022-01-11,Keyboard,Accessories,West,3.0,2529.0,169.6,6.706207987346777
135,2024-01-21,Tablet,Electronics,West,6.0,2730.0,636.48,23.314285714285717
136,2023-04-27,Headphones,Accessories,North,3.0,3021.0,872.49,28.88083416087388
137,2022-05-11,Camera,Electronics,South,8.0,728.0,120.06,16.49175824175824
138,2023-01-09,Tablet,Electronics,West,3.0,2130.0,510.69,23.97605633802817
139,2023-05-04,Monitor,Accessories,North,8.0,4120.0,710.11,17.235679611650486
140,2024-09-07,Smartwatch,Electronics,South,7.0,3150.0,299.7,9.514285714285714
141,2023-08-17,Tablet,Electronics,East,2.0,1752.0,501.19,28.606735159817354
142,2023-02-18,Smartphone,Electronics,East,7.0,5516.0,1475.67,26.75253807106599
143,2022-01-29,Printer,Office,South,2.0,2224.0,116.47,5.236960431654676
144,2023-01-12,Laptop,Electronics,South,5.0,3985.0,824.4,20.687578419071517
145,2024-08-21,Laptop,Electronics,West,5.0,3170.0,245.25,7.736593059936908
146,2023-12-11,Smartwatch,Electronics,East,5.0,550.0,63.11,11.474545454545455
147,2023-11-20,Headphones,Accessories,North,8.0,824.0,240.84,29.228155339805827
148,2022-03-03,Headphones,Accessories,North,4.0,1872.0,448.46,23.95619658119658
149,2024-02-20,Tablet,Electronics,West,3.0,627.0,103.98,16.583732057416267
150,2024-08-09,Camera,Electronics,East,9.0,5661.0,1104.02,19.502208090443386
151,2022-06-19,Camera,Electronics,North,3.0,2910.0,765.47,26.304810996563578
152,2024-09-01,Tablet,Electronics,South,9.0,9036.0,1087.46,12.034749889331563
153,2023-02-26,Camera,Electronics,West,5.0,2025.0,414.42,20.465185185185184
154,2023-12-08,Smartwatch,Electronics,North,5.0,655.0,166.69,25.448854961832062
155,2022-01-17,Printer,Office,West,2.0,2238.0,294.54,13.160857908847188
156,2023-04-12,Smartphone,Electronics,South,8.0,3312.0,811.31,24.496074879227052
157,2023-07-26,Printer,Office,East,9.0,9387.0,1271.64,13.546820070310003
158,2024-01-01,Unknown,Accessories,West,6.0,5790.0,1285.21,22.19706390328152
159,2023-06-12,Laptop,Electronics,South,6.0,2700.0,527.97,19.554444444444446
160,2023-05-12,Smartwatch,Electronics,East,8.0,2072.0,555.06,26.788610038610035
161,2024-10-27,Keyboard,Accessories,North,3.0,2991.0,716.54,23.956536275493146
162,2023-02-01,Unknown,Electronics,North,7.0,5509.0,1648.74,29.928117625703393
163,2024-12-19,Tablet,Electronics,South,2.0,1082.0,182.1,16.829944547134936
164,2022-07-18,Camera,Electronics,East,1.0,569.0,138.11,24.272407732864675
165,2024-10-13,Printer,Office,West,1.0,570.0,57.07,10.012280701754387
166,2023-08-07,Unknown,Accessories,East,6.0,3300.0,386.92,11.724848484848485
167,2022-12-04,Laptop,Electronics,South,8.0,2584.0,568.77,22.01122291021672
168,2024-02-18,Monitor,Accessories,South,9.0,7650.0,2204.44,28.8162091503268
169,2023-08-12,Smartphone,Electronics,West,1.0,51.0,9.36,18.352941176470587
170,2024-06-05,Smartwatch,Electronics,West,2.0,384.0,38.41,10.002604166666666
171,2022-09-08,Tablet,Electronics,East,2.0,2314.0,312.07,13.486171132238548
172,2022-01-22,Printer,Office,South,4.0,1028.0,192.13,18.689688715953306
173,2024-01-20,Printer,Office,West,9.0,1539.0,203.54,13.225471085120208
174,2022-11-03,Tablet,Electronics,West,7.0,2506.0,537.98,21.467677573822826
175,2024-11-05,Monitor,Accessories,North,1.0,952.0,157.7,16.56512605042017
176,2024-01-02,Smartwatch,Electronics,West,8.0,3624.0,750.86,20.71909492273731
177,2023-02-24,Keyboard,Accessories,South,8.0,7968.0,1551.12,19.466867469879517
178,2023-06-14,Printer,Office,West,3.0,705.0,196.05,27.80851063829787
179,2024-10-01,Printer,Office,North,2.0,848.0,129.96,15.325471698113208
180,2022-01-28,Monitor,Accessories,South,1.0,940.0,120.35,12.803191489361701
181,2023-09-22,Keyboard,Accessories,South,7.0,2352.0,256.4,10.901360544217686
182,2024-08-29,Smartwatch,Electronics,North,9.0,1638.0,183.75,11.217948717948719
183,2023-11-18,Camera,Electronics,North,6.0,7164.0,1442.72,20.13847012841988
184,2023-09-12,Mouse,Accessories,East,1.0,205.0,54.54,26.60487804878049
185,2024-11-01,Mouse,Accessories,South,1.0,1058.0,207.55,19.617202268431004
186,2023-05-10,Camera,Electronics,East,2.0,2224.0,364.04,16.368705035971225
187,2022-05-09,Smartphone,Electronics,East,7.0,7567.0,2213.18,29.24778644112594
188,2022-11-07,Tablet,Electronics,East,6.0,3396.0,987.68,29.083627797408713
189,2024-06-10,Mouse,Accessories,West,5.0,2050.0,157.13,7.664878048780488
190,2023-08-08,Monitor,Accessories,North,9.0,10458.0,2799.48,26.768789443488238
191,2023-12-26,Laptop,Electronics,East,8.0,6968.0,1479.09,21.22689437428243
192,2022-10-18,Camera,Electronics,West,1.0,354.0,65.99,18.641242937853107
193,2024-04-21,Monitor,Accessories,South,3.0,3051.0,662.23,21.705342510652244
194,2022-10-31,Monitor,Accessories,North,5.0,3570.0,517.82,14.504761904761907
195,2023-03-03,Keyboard,Accessories,North,7.0,3829.0,876.35,22.887176808566206
196,2023-03-02,Mouse,Accessories,North,7.0,4676.0,242.64,5.189050470487596
197,2023-05-09,Smartphone,Electronics,East,4.0,4228.0,764.3,18.077105014191105
198,2022-01-02,Headphones,Accessories,North,8.0,1240.0,251.2,20.258064516129032
199,2024-11-28,Keyboard,Accessories,North,9.0,3591.0,342.18,9.528822055137844
200,2022-02-05,Printer,Office,West,8.0,3952.0,451.08,11.413967611336032
201,2024-11-15,Monitor,Accessories,West,5.0,3875.0,768.74,19.838451612903228
202,2023-11-13,Smartwatch,Electronics,West,8.0,3416.0,478.9,14.019320843091334
203,2024-05-06,Headphones,Accessories,South,4.0,4532.0,987.32,21.785525154457194
204,2023-08-04,Headphones,Accessories,East,4.0,4168.0,650.15,15.598608445297504
205,2023-09-23,Laptop,Electronics,North,3.0,3543.0,941.37,26.569856054191366
206,2023-09-29,Camera,Electronics,East,2.0,624.0,139.64,22.378205128205124
207,2023-09-13,Headphones,Accessories,South,4.0,4700.0,914.6,19.459574468085105
208,2023-07-15,Laptop,Electronics,West,6.0,2844.0,581.0,20.428973277074544
209,2022-05-29,Smartphone,Electronics,West,5.0,2385.0,258.6,10.842767295597486
210,2023-01-16,Monitor,Accessories,South,8.0,928.0,170.05,18.32435344827586
211,2023-09-06,Headphones,Accessories,North,6.0,4656.0,673.35,14.461984536082475
212,2022-08-25,Printer,Office,East,1.0,1029.0,173.61,16.87172011661808
213,2022-12-30,Headphones,Accessories,North,8.0,5432.0,1619.39,29.812039764359355
214,2024-09-04,Camera,Electronics,West,5.0,5785.0,1191.11,20.58962834917891
215,2024-01-08,Printer,Office,North,1.0,1062.0,272.42,25.65160075329567
216,2024-04-14,Smartphone,Electronics,West,9.0,9162.0,1625.62,17.743069198864873
217,2024-07-19,Camera,Electronics,South,5.0,3135.0,277.28,8.844657097288676
218,2024-03-03,Keyboard,Accessories,North,2.0,630.0,161.04,25.561904761904756
219,2024-04-12,Monitor,Accessories,South,1.0,213.0,42.94,20.159624413145536
220,2024-06-20,Monitor,Accessories,North,4.0,3792.0,1092.85,28.819883966244724
221,2023-01-25,Keyboard,Accessories,West,4.0,4152.0,317.28,7.6416184971098255
222,2024-02-17,Smartphone,Electronics,North,7.0,3612.0,529.57,14.661406423034332
223,2024-09-08,Keyboard,Accessories,South,3.0,1704.0,309.06,18.137323943661972
224,2023-11-03,Smartphone,Electronics,West,5.0,1935.0,128.01,6.615503875968992
225,2023-06-30,Keyboard,Accessories,West,7.0,4746.0,816.6,17.20606826801517
226,2022-05-09,Camera,Electronics,South,1.0,1193.0,153.72,12.885163453478626
227,2023-12-16,Laptop,Electronics,East,2.0,562.0,92.94,16.537366548042705
228,2022-03-20,Smartphone,Electronics,North,8.0,6200.0,1296.84,20.916774193548385
229,2024-07-28,Printer,Office,North,8.0,4128.0,315.48,7.642441860465117
230,2022-03-28,Printer,Office,East,5.0,5405.0,326.56,6.0418131359851985
231,2024-06-11,Laptop,Electronics,North,3.0,1371.0,104.66,7.633843909555068
232,2023-01-01,Keyboard,Accessories,West,5.0,1405.0,194.33,13.831316725978649
233,2023-03-18,Keyboard,Accessories,West,3.0,1644.0,158.32,9.630170316301703
234,2024-09-18,Mouse,Accessories,West,6.0,3414.0,396.92,11.626244874048037
235,2022-06-18,Smartphone,Electronics,North,3.0,2655.0,646.91,24.36572504708098
236,2022-05-29,Smartwatch,Electronics,West,7.0,1673.0,458.32,27.395098625224147
237,2022-02-08,Tablet,Electronics,North,5.0,855.0,217.16,25.398830409356727
238,2023-10-23,Camera,Electronics,South,2.0,396.0,94.55,23.876262626262626
239,2024-05-09,Monitor,Accessories,North,6.0,1704.0,199.94,11.73356807511737
240,2023-12-03,Smartphone,Electronics,East,2.0,1180.0,261.16,22.13220338983051
241,2022-01-19,Mouse,Accessories,East,1.0,745.0,151.22,20.297986577181206
242,2024-05-23,Mouse,Accessories,South,3.0,1494.0,178.5,11.947791164658634
243,2024-07-11,Camera,Electronics,South,5.0,1755.0,358.01,20.3994301994302
244,2022-08-22,Camera,Electronics,South,9.0,4941.0,894.52,18.104027524792553
245,2024-11-03,Smartwatch,Electronics,North,6.0,6510.0,1539.18,23.643317972350232
246,2024-10-11,Smartphone,Electronics,South,5.0,5465.0,719.92,13.173284537968893
247,2024-11-09,Tablet,Electronics,South,3.0,3522.0,285.91,8.117830777967065
248,2024-04-01,Tablet,Electronics,West,6.0,1656.0,139.86,8.445652173913045
249,2023-05-15,Tablet,Electronics,West,5.0,1925.0,204.74,10.635844155844158
250,2023-06-26,Headphones,Accessories,West,1.0,260.0,16.81,6.465384615384615
251,2022-01-19,Monitor,Accessories,West,5.0,4880.0,1250.66,25.628278688524592
252,2024-04-10,Keyboard,Accessories,West,7.0,1134.0,179.74,15.850088183421517
253,2022-06-10,Laptop,Electronics,North,9.0,9621.0,1201.29,12.486124103523542
254,2023-02-03,Monitor,Accessories,South,4.0,2836.0,698.83,24.641396332863188
255,2023-05-15,Printer,Office,North,9.0,5859.0,1153.89,19.69431643625192
256,2023-01-07,Monitor,Accessories,South,1.0,612.0,174.52,28.516339869281047
257,2022-02-18,Smartwatch,Electronics,North,3.0,1890.0,492.31,26.048148148148147
258,2023-09-04,Printer,Office,South,2.0,1960.0,312.06,15.921428571428573
259,2022-07-07,Camera,Electronics,North,6.0,4410.0,893.27,20.255555555555553
260,2022-09-27,Smartwatch,Electronics,West,6.0,5712.0,638.29,11.17454481792717
261,2023-07-05,Smartphone,Electronics,West,8.0,7944.0,2257.73,28.420568982880162
262,2024-09-10,Camera,Electronics,North,5.0,1815.0,535.22,29.488705234159777
263,2023-06-13,Smartwatch,Electronics,South,9.0,4248.0,964.12,22.695856873822976
264,2024-05-02,Unknown,Accessories,North,6.0,3954.0,676.82,17.11734951947395
265,2024-04-21,Smartphone,Electronics,South,6.0,7110.0,739.6,10.402250351617441
266,2023-07-25,Unknown,Accessories,South,7.0,8113.0,995.03,12.264637002341921
267,2023-01-26,Headphones,Accessories,North,3.0,1830.0,183.62,10.033879781420765
268,2023-01-11,Keyboard,Accessories,West,4.0,3732.0,671.19,17.984726688102896
269,2024-09-27,Mouse,Accessories,West,6.0,4062.0,1087.17,26.764401772525854
270,2024-12-03,Smartwatch,Electronics,North,1.0,496.0,93.31,18.8125
271,2023-08-24,Smartwatch,Electronics,East,4.0,1104.0,84.31,7.636775362318842
272,2023-05-19,Smartphone,Electronics,West,3.0,2274.0,662.0,29.11169744942832
273,2022-08-26,Mouse,Accessories,West,8.0,4928.0,1038.18,21.06696428571429
274,2022-08-08,Headphones,Accessories,North,2.0,178.0,31.46,17.674157303370787
275,2023-06-28,Mouse,Accessories,North,4.0,4156.0,847.09,20.382338787295478
276,2024-10-09,Printer,Office,North,1.0,624.0,106.92,17.134615384615383
277,2022-09-04,Smartphone,Electronics,West,4.0,3892.0,1052.72,27.04830421377184
278,2024-07-18,Mouse,Accessories,South,9.0,1620.0,294.6,18.185185185185187
279,2022-07-09,Smartwatch,Electronics,North,5.0,1025.0,262.91,25.649756097560978
280,2024-07-31,Mouse,Accessories,South,3.0,1785.0,244.52,13.69859943977591
281,2022-09-30,Smartwatch,Electronics,North,9.0,2952.0,605.85,20.523373983739837
282,2023-02-10,Keyboard,Accessories,East,1.0,1017.0,69.33,6.817109144542773
283,2023-05-04,Mouse,Accessories,North,3.0,2994.0,638.59,21.328991315965265
284,2022-05-22,Printer,Office,West,2.0,1874.0,271.5,14.487726787620064
285,2023-09-06,Camera,Electronics,East,8.0,7240.0,411.19,5.679419889502762
286,2024-06-17,Monitor,Accessories,South,9.0,1188.0,348.31,29.319023569023567
287,2024-12-22,Headphones,Accessories,North,9.0,2997.0,163.34,5.450116783450117
288,2023-02-02,Printer,Office,West,9.0,7524.0,2017.85,26.81884635832004
289,2024-03-31,Laptop,Electronics,East,8.0,6952.0,871.2,12.531645569620252
290,2023-05-29,Camera,Electronics,North,9.0,1053.0,283.58,26.9306742640076
291,2024-12-21,Monitor,Accessories,North,9.0,6696.0,1224.22,18.282855436081245
292,2024-10-09,Headphones,Accessories,North,2.0,1420.0,93.59,6.590845070422535
293,2023-12-29,Camera,Electronics,West,9.0,9972.0,2566.01,25.73215002005616
294,2023-02-10,Camera,Electronics,West,3.0,225.0,20.52,9.120000000000001
295,2022-12-05,Mouse,Accessories,East,3.0,1662.0,375.04,22.56558363417569
296,2022-08-02,Smartphone,Electronics,North,8.0,3168.0,747.33,23.58996212121212
297,2024-05-14,Laptop,Electronics,South,8.0,4832.0,1261.06,26.098096026490065
298,2023-01-17,Unknown,Office,North,5.0,3765.0,670.8,17.816733067729082
299,2023-02-01,Headphones,Accessories,West,7.0,1624.0,436.13,26.855295566502463
300,2023-04-01,Headphones,Accessories,North,1.0,68.0,10.39,15.279411764705882
301,2023-10-17,Keyboard,Accessories,North,1.0,381.0,26.69,7.005249343832021
302,2022-07-21,Printer,Office,South,2.0,2016.0,426.43,21.152281746031747
303,2022-10-23,Monitor,Accessories,South,5.0,2180.0,400.01,18.34908256880734
304,2022-10-04,Mouse,Accessories,South,1.0,272.0,45.33,16.665441176470587
305,2022-03-14,Smartphone,Electronics,North,4.0,2640.0,183.23,6.940530303030303
306,2024-04-26,Monitor,Accessories,North,2.0,488.0,129.02,26.438524590163937
307,2023-11-10,Printer,Office,South,8.0,9184.0,1795.93,19.55498693379791
308,2024-10-03,Keyboard,Accessories,East,3.0,2889.0,604.45,20.922464520595362
309,2024-07-18,Laptop,Electronics,West,1.0,625.0,125.9,20.144000000000002
310,2022-06-19,Mouse,Accessories,West,5.0,855.0,67.57,7.902923976608187
311,2023-03-07,Camera,Electronics,South,1.0,846.0,103.3,12.210401891252955
312,2022-03-09,Keyboard,Accessories,North,1.0,158.0,46.24,29.26582278481013
313,2024-02-01,Mouse,Accessories,North,7.0,6972.0,969.43,13.90461847389558
314,2024-04-15,Mouse,Accessories,East,5.0,1745.0,449.64,25.767335243553006
315,2024-05-15,Laptop,Electronics,East,8.0,4256.0,372.95,8.762922932330827
316,2022-04-14,Keyboard,Accessories,South,3.0,1674.0,499.63,29.84647550776583
317,2024-09-25,Camera,Electronics,North,8.0,6488.0,1072.86,16.536066584463622
318,2022-03-05,Tablet,Electronics,East,5.0,3530.0,803.86,22.772237960339943
319,2022-09-03,Mouse,Accessories,North,2.0,632.0,87.45,13.837025316455698
320,2024-09-11,Monitor,Accessories,North,7.0,3675.0,236.8,6.443537414965987
321,2023-09-12,Smartwatch,Electronics,West,6.0,5592.0,926.42,16.566881258941343
322,2023-08-27,Unknown,Electronics,East,3.0,3069.0,503.3,16.399478657543174
323,2024-05-30,Tablet,Electronics,North,4.0,3960.0,632.76,15.978787878787879
324,2024-07-31,Tablet,Electronics,South,3.0,1476.0,85.16,5.769647696476964
325,2023-11-14,Printer,Office,East,2.0,1058.0,298.69,28.23156899810964
326,2023-11-27,Monitor,Accessories,South,5.0,1215.0,162.02,13.334979423868312
327,2024-03-04,Camera,Electronics,North,3.0,204.0,20.43,10.01470588235294
328,2022-05-21,Camera,Electronics,West,5.0,250.0,16.81,6.723999999999999
329,2024-03-12,Headphones,Accessories,South,2.0,1504.0,108.52,7.215425531914893
330,2022-11-18,Laptop,Electronics,South,7.0,1477.0,367.22,24.862559241706165
331,2022-10-22,Smartwatch,Electronics,East,8.0,1280.0,131.56,10.278125000000001
