,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
23,TXN_6079741,Cookie,3,1.0,4.0,Other,Takeaway,2023-01-02
24,TXN_3410971,Smoothie,1,4.0,4.0,Other,Takeaway,2023-01-02
25,TXN_2714524,Sandwich,4,4.0,16.0,Cash,Takeaway,2023-01-02
26,TXN_4262142,Cake,2,3.0,6.0,Cash,Takeaway,2023-01-02
27,TXN_6843517,Sandwich,5,4.0,20.0,Credit Card,In-store,2023-01-02
28,TXN_5741619,Smoothie,3,4.0,20.0,Cash,Takeaway,2023-01-02
29,TXN_2575160,Tea,5,1.5,7.5,Other,Takeaway,2023-01-02
30,TXN_9649503,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-01-02
31,TXN_6935600,Coffee,3,2.0,6.0,Other,Takeaway,2023-01-02
32,TXN_4258943,Sandwich,2,4.0,8.0,Credit Card,In-store,2023-01-02
33,TXN_4314314,Cake,4,3.0,12.0,Cash,Takeaway,2023-01-02
34,TXN_7906197,Sandwich,5,4.0,20.0,Credit Card,In-store,2023-01-02
35,TXN_2339781,Smoothie,2,4.0,8.0,Other,In-store,2023-01-02
36,TXN_9454387,Salad,2,5.0,10.0,Cash,Takeaway,2023-01-02
37,TXN_1026827,Cookie,4,1.0,4.0,Digital Wallet,In-store,2023-01-02
38,TXN_6868182,Other,5,4.0,20.0,Credit Card,Takeaway,2023-01-02
39,TXN_9326761,Tea,1,1.5,1.5,Other,Takeaway,2023-01-02
40,TXN_1298084,Other,2,1.5,3.0,Credit Card,Takeaway,2023-01-02
41,TXN_7313328,Juice,1,3.0,3.0,Other,Takeaway,2023-01-03
42,TXN_6044312,Cake,2,3.0,6.0,Other,In-store,2023-01-03
43,TXN_2716377,Juice,4,3.0,12.0,Cash,Takeaway,2023-01-03
44,TXN_7686476,Coffee,3,2.0,6.0,Digital Wallet,Takeaway,2023-01-03
45,TXN_7355326,Cookie,1,1.0,1.0,Other,Takeaway,2023-01-03
46,TXN_1607471,Sandwich,2,4.0,8.0,Credit Card,Takeaway,2023-01-03
47,TXN_3297457,Cake,2,3.0,6.0,Other,Takeaway,2023-01-03
48,TXN_6697669,Cake,5,3.0,15.0,Cash,Takeaway,2023-01-03
49,TXN_9944500,Smoothie,3,4.0,12.0,Cash,In-store,2023-01-03
50,TXN_6368719,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-01-03
51,TXN_3205009,Other,2,1.5,3.0,Cash,In-store,2023-01-03
52,TXN_2493262,Cookie,2,1.0,2.0,Credit Card,Takeaway,2023-01-03
53,TXN_3963927,Sandwich,4,4.0,16.0,Credit Card,In-store,2023-01-03
54,TXN_9014681,Other,3,4.0,12.0,Other,In-store,2023-01-03
55,TXN_2377708,Cookie,1,1.0,1.0,Other,Takeaway,2023-01-03
56,TXN_3749801,Cake,5,3.0,15.0,Credit Card,Takeaway,2023-01-03
57,TXN_2030107,Juice,4,3.0,12.0,Other,Takeaway,2023-01-03
58,TXN_6460409,Salad,3,5.0,15.0,Cash,Takeaway,2023-01-03
59,TXN_9728454,Juice,4,3.0,12.0,Digital Wallet,Takeaway,2023-01-03
60,TXN_6669417,Salad,5,5.0,25.0,Other,Takeaway,2023-01-03
61,TXN_9699174,Smoothie,3,4.0,12.0,Other,Takeaway,2023-01-03
62,TXN_1082012,Smoothie,5,4.0,20.0,Credit Card,Takeaway,2023-01-04
63,TXN_9113574,Coffee,4,2.0,8.0,Other,In-store,2023-01-04
64,TXN_1268811,Salad,1,5.0,5.0,Other,Takeaway,2023-01-04
65,TXN_8867957,Sandwich,1,4.0,4.0,Digital Wallet,Takeaway,2023-01-04
66,TXN_3896128,Cake,1,3.0,3.0,Other,In-store,2023-01-04
67,TXN_1411473,Coffee,3,2.0,6.0,Credit Card,In-store,2023-01-04
68,TXN_4712887,Tea,5,1.5,7.5,Credit Card,Takeaway,2023-01-04
69,TXN_9825905,Coffee,1,2.0,2.0,Digital Wallet,Takeaway,2023-01-04
70,TXN_7894558,Coffee,2,2.0,4.0,Other,Takeaway,2023-01-04
71,TXN_7630912,Juice,2,3.0,6.0,Credit Card,Takeaway,2023-01-04
72,TXN_9415451,Cake,3,3.0,9.0,Other,Takeaway,2023-01-04
73,TXN_4031509,Other,4,3.0,16.0,Credit Card,Takeaway,2023-01-04
74,TXN_9983530,Smoothie,3,4.0,12.0,Other,Takeaway,2023-01-04
75,TXN_8309656,Sandwich,3,4.0,12.0,Other,Takeaway,2023-01-04
76,TXN_4719069,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-01-04
77,TXN_3317406,Sandwich,3,4.0,12.0,Other,Takeaway,2023-01-04
78,TXN_2861396,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-01-04
79,TXN_5788053,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-01-04
80,TXN_4033982,Other,2,1.5,3.0,Credit Card,Takeaway,2023-01-04
81,TXN_8510450,Other,4,3.0,12.0,Other,Takeaway,2023-01-04
82,TXN_3857768,Coffee,2,2.0,4.0,Credit Card,Takeaway,2023-01-04
83,TXN_1232346,Salad,5,5.0,25.0,Digital Wallet,In-store,2023-01-04
84,TXN_4147675,Tea,2,1.5,3.0,Credit Card,In-store,2023-01-04
85,TXN_7041367,Cookie,4,1.0,4.0,Other,Takeaway,2023-01-04
86,TXN_9908225,Smoothie,5,4.0,20.0,Credit Card,In-store,2023-01-04
87,TXN_7708201,Salad,3,5.0,15.0,Cash,Takeaway,2023-01-04
88,TXN_5136479,Sandwich,1,3.0,4.0,Other,In-store,2023-01-04
89,TXN_1727281,Juice,4,3.0,12.0,Other,Takeaway,2023-01-05
90,TXN_6455325,Juice,4,3.0,12.0,Credit Card,In-store,2023-01-05
91,TXN_5662517,Tea,2,3.0,3.0,Credit Card,Takeaway,2023-01-05
92,TXN_3910230,Sandwich,5,4.0,20.0,Cash,Takeaway,2023-01-05
93,TXN_8742689,Tea,5,1.5,7.5,Digital Wallet,Takeaway,2023-01-05
94,TXN_5164540,Tea,2,1.5,3.0,Other,Takeaway,2023-01-05
95,TXN_3603434,Coffee,5,2.0,10.0,Other,In-store,2023-01-05
96,TXN_5862289,Juice,4,3.0,12.0,Digital Wallet,Takeaway,2023-01-05
97,TXN_2372348,Cake,2,3.0,6.0,Digital Wallet,Takeaway,2023-01-05
98,TXN_9587884,Tea,2,1.5,3.0,Other,Takeaway,2023-01-05
99,TXN_5137315,Salad,3,5.0,25.0,Credit Card,In-store,2023-01-05
100,TXN_2044375,Salad,1,5.0,5.0,Cash,Takeaway,2023-01-05
101,TXN_9417438,Salad,1,5.0,5.0,Other,In-store,2023-01-05
102,TXN_3313534,Cookie,2,1.0,2.0,Digital Wallet,In-store,2023-01-05
103,TXN_1840566,Coffee,4,2.0,8.0,Other,Takeaway,2023-01-05
104,TXN_1927704,Salad,2,5.0,10.0,Digital Wallet,In-store,2023-01-05
105,TXN_7180164,Sandwich,3,4.0,20.0,Cash,Takeaway,2023-01-05
106,TXN_1622123,Cookie,2,1.0,2.0,Cash,Takeaway,2023-01-05
107,TXN_1701500,Smoothie,1,4.0,4.0,Other,Takeaway,2023-01-05
108,TXN_6515226,Juice,1,3.0,3.0,Digital Wallet,Takeaway,2023-01-05
109,TXN_5587224,Salad,2,5.0,10.0,Other,In-store,2023-01-05
110,TXN_9814511,Other,1,3.0,3.0,Credit Card,Takeaway,2023-01-05
111,TXN_4982382,Salad,1,5.0,5.0,Cash,Takeaway,2023-01-05
112,TXN_1665056,Salad,5,5.0,25.0,Cash,Takeaway,2023-01-05
113,TXN_2340643,Salad,5,5.0,25.0,Cash,In-store,2023-01-05
114,TXN_5524352,Sandwich,1,4.0,4.0,Other,Takeaway,2023-01-05
115,TXN_4283693,Salad,2,5.0,10.0,Cash,In-store,2023-01-05
116,TXN_8852585,Sandwich,4,4.0,16.0,Credit Card,Takeaway,2023-01-05
117,TXN_4980036,Cake,2,3.0,6.0,Cash,Takeaway,2023-01-05
118,TXN_6380550,Coffee,5,2.0,10.0,Cash,In-store,2023-01-05
119,TXN_9809696,Smoothie,1,4.0,4.0,Other,Takeaway,2023-01-05
120,TXN_1575608,Sandwich,3,3.0,20.0,Other,Takeaway,2023-01-05
121,TXN_1324968,Cookie,3,1.0,3.0,Credit Card,In-store,2023-01-05
122,TXN_7766134,Tea,1,1.5,1.5,Credit Card,Takeaway,2023-01-05
123,TXN_9496018,Other,5,1.5,7.5,Other,Takeaway,2023-01-05
124,TXN_8608811,Cake,5,3.0,15.0,Credit Card,Takeaway,2023-01-05
125,TXN_1767872,Salad,2,5.0,10.0,Credit Card,In-store,2023-01-05
126,TXN_9151321,Sandwich,4,4.0,16.0,Cash,In-store,2023-01-05
127,TXN_3666951,Juice,2,3.0,6.0,Other,In-store,2023-01-06
128,TXN_1091243,Sandwich,2,4.0,8.0,Other,In-store,2023-01-06
129,TXN_3277379,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-01-06
130,TXN_6670607,Juice,5,3.0,15.0,Other,Takeaway,2023-01-06
131,TXN_6000890,Coffee,3,2.0,6.0,Digital Wallet,In-store,2023-01-06
132,TXN_8083377,Tea,4,1.5,6.0,Digital Wallet,In-store,2023-01-06
133,TXN_1419790,Sandwich,3,4.0,12.0,Other,Takeaway,2023-01-06
134,TXN_1180969,Cookie,1,1.0,1.0,Digital Wallet,In-store,2023-01-06
135,TXN_3121483,Salad,2,5.0,10.0,Other,Takeaway,2023-01-06
136,TXN_1960599,Cake,4,3.0,12.0,Cash,Takeaway,2023-01-06
137,TXN_2531878,Salad,3,5.0,15.0,Other,Takeaway,2023-01-06
138,TXN_1185003,Other,5,3.0,15.0,Cash,Takeaway,2023-01-06
139,TXN_9663990,Juice,1,3.0,3.0,Other,Takeaway,2023-01-06
140,TXN_7770253,Coffee,5,2.0,10.0,Digital Wallet,Takeaway,2023-01-06
141,TXN_1779679,Coffee,5,3.0,10.0,Other,In-store,2023-01-06
142,TXN_6410244,Tea,4,1.5,6.0,Credit Card,Takeaway,2023-01-06
143,TXN_2204457,Coffee,4,2.0,8.0,Cash,Takeaway,2023-01-06
144,TXN_1671480,Cookie,5,1.0,5.0,Other,Takeaway,2023-01-06
145,TXN_2029497,Sandwich,2,4.0,8.0,Cash,Takeaway,2023-01-06
146,TXN_3392953,Coffee,1,2.0,2.0,Digital Wallet,Takeaway,2023-01-06
147,TXN_4664329,Tea,2,1.5,3.0,Credit Card,Takeaway,2023-01-06
148,TXN_1852224,Tea,4,3.0,6.0,Cash,Takeaway,2023-01-06
149,TXN_6571385,Tea,4,1.5,6.0,Cash,Takeaway,2023-01-06
150,TXN_6467414,Tea,3,1.5,4.5,Cash,Takeaway,2023-01-06
151,TXN_8632098,Salad,2,3.0,10.0,Other,Takeaway,2023-01-06
152,TXN_5438111,Smoothie,3,4.0,12.0,Cash,In-store,2023-01-06
153,TXN_8276063,Coffee,1,2.0,2.0,Credit Card,Takeaway,2023-01-06
154,TXN_3112013,Sandwich,5,4.0,20.0,Cash,In-store,2023-01-06
155,TXN_2301001,Smoothie,1,4.0,4.0,Other,Takeaway,2023-01-06
156,TXN_8305586,Coffee,4,2.0,8.0,Cash,Takeaway,2023-01-06
157,TXN_3228823,Other,5,1.5,7.5,Other,Takeaway,2023-01-06
158,TXN_5622313,Salad,2,5.0,10.0,Credit Card,In-store,2023-01-07
159,TXN_1090854,Cookie,3,1.0,3.0,Credit Card,In-store,2023-01-07
160,TXN_1010950,Cookie,3,1.0,1.0,Digital Wallet,Takeaway,2023-01-07
161,TXN_3046567,Salad,2,5.0,10.0,Credit Card,In-store,2023-01-07
162,TXN_6040824,Sandwich,1,4.0,4.0,Cash,Takeaway,2023-01-07
163,TXN_8066306,Cake,5,3.0,15.0,Digital Wallet,Takeaway,2023-01-07
164,TXN_4064326,Cookie,2,1.0,2.0,Cash,Takeaway,2023-01-07
165,TXN_2696664,Cookie,5,1.0,5.0,Other,In-store,2023-01-07
166,TXN_6643951,Other,1,4.0,4.0,Credit Card,In-store,2023-01-07
167,TXN_9901097,Coffee,1,2.0,2.0,Cash,Takeaway,2023-01-07
168,TXN_8285752,Cookie,4,1.0,4.0,Other,In-store,2023-01-07
169,TXN_5476485,Juice,2,3.0,6.0,Cash,In-store,2023-01-07
170,TXN_5279972,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-01-07
171,TXN_1598214,Juice,1,3.0,3.0,Credit Card,Takeaway,2023-01-07
172,TXN_1193551,Cookie,1,1.0,1.0,Other,Takeaway,2023-01-07
173,TXN_4177717,Cookie,1,1.0,1.0,Other,Takeaway,2023-01-07
174,TXN_8661276,Cookie,1,1.0,1.0,Digital Wallet,In-store,2023-01-07
175,TXN_8934637,Smoothie,1,4.0,4.0,Other,In-store,2023-01-07
176,TXN_2631423,Cookie,3,1.0,3.0,Cash,Takeaway,2023-01-07
177,TXN_6121301,Smoothie,5,4.0,20.0,Digital Wallet,Takeaway,2023-01-07
178,TXN_8164119,Tea,3,1.5,4.5,Credit Card,Takeaway,2023-01-07
179,TXN_6872268,Juice,2,3.0,6.0,Digital Wallet,In-store,2023-01-07
180,TXN_1072232,Sandwich,1,4.0,4.0,Digital Wallet,In-store,2023-01-07
181,TXN_1034067,Smoothie,3,3.0,12.0,Digital Wallet,Takeaway,2023-01-07
182,TXN_8150967,Smoothie,3,4.0,12.0,Cash,Takeaway,2023-01-08
183,TXN_4702345,Salad,4,5.0,20.0,Digital Wallet,Takeaway,2023-01-08
184,TXN_7851634,Other,4,4.0,16.0,Other,Takeaway,2023-01-08
185,TXN_8482647,Sandwich,5,4.0,20.0,Credit Card,Takeaway,2023-01-08
186,TXN_9425610,Sandwich,3,4.0,12.0,Cash,In-store,2023-01-08
187,TXN_6975750,Juice,5,3.0,15.0,Other,Takeaway,2023-01-08
188,TXN_2680626,Cake,3,3.0,9.0,Cash,In-store,2023-01-08
189,TXN_6144244,Juice,3,3.0,9.0,Cash,Takeaway,2023-01-08
190,TXN_3703482,Cake,4,3.0,12.0,Other,Takeaway,2023-01-08
191,TXN_9203396,Coffee,5,2.0,10.0,Digital Wallet,In-store,2023-01-08
192,TXN_6342161,Salad,5,5.0,25.0,Other,Takeaway,2023-01-08
193,TXN_6857943,Cake,5,3.0,15.0,Other,Takeaway,2023-01-08
194,TXN_1887555,Juice,2,3.0,6.0,Cash,In-store,2023-01-08
195,TXN_3003979,Tea,3,1.5,1.5,Digital Wallet,Takeaway,2023-01-08
196,TXN_4583009,Salad,5,5.0,25.0,Credit Card,In-store,2023-01-08
197,TXN_7516790,Cake,2,3.0,6.0,Other,Takeaway,2023-01-08
198,TXN_3803732,Salad,4,3.0,20.0,Digital Wallet,Takeaway,2023-01-08
199,TXN_4615235,Cake,4,3.0,12.0,Cash,Takeaway,2023-01-08
200,TXN_4328228,Sandwich,5,4.0,20.0,Other,Takeaway,2023-01-08
201,TXN_2832660,Smoothie,2,4.0,8.0,Credit Card,Takeaway,2023-01-08
202,TXN_3313000,Coffee,5,2.0,10.0,Credit Card,In-store,2023-01-08
203,TXN_5991995,Cake,1,3.0,3.0,Digital Wallet,In-store,2023-01-08
204,TXN_6857799,Cookie,4,1.0,4.0,Cash,Takeaway,2023-01-08
205,TXN_7932830,Other,2,3.0,6.0,Other,Takeaway,2023-01-08
206,TXN_8384229,Tea,4,1.5,6.0,Digital Wallet,Takeaway,2023-01-08
207,TXN_3494191,Smoothie,2,4.0,8.0,Credit Card,In-store,2023-01-08
208,TXN_9844453,Tea,2,1.5,3.0,Other,Takeaway,2023-01-09
209,TXN_8425819,Sandwich,1,4.0,4.0,Other,Takeaway,2023-01-09
210,TXN_3827851,Coffee,1,2.0,2.0,Other,Takeaway,2023-01-09
211,TXN_7764304,Cake,3,3.0,3.0,Credit Card,Takeaway,2023-01-09
212,TXN_6277500,Coffee,4,2.0,8.0,Credit Card,Takeaway,2023-01-09
213,TXN_5005999,Salad,4,5.0,20.0,Cash,Takeaway,2023-01-09
214,TXN_3744974,Other,1,3.0,3.0,Other,In-store,2023-01-09
215,TXN_9627891,Coffee,2,2.0,4.0,Credit Card,In-store,2023-01-09
216,TXN_2504703,Smoothie,5,4.0,20.0,Digital Wallet,Takeaway,2023-01-09
217,TXN_4449992,Other,3,1.0,3.0,Digital Wallet,Takeaway,2023-01-09
218,TXN_1993675,Cookie,3,1.0,3.0,Cash,Takeaway,2023-01-09
219,TXN_4829492,Other,2,3.0,6.0,Credit Card,Takeaway,2023-01-09
220,TXN_3700419,Cookie,4,1.0,4.0,Other,Takeaway,2023-01-09
221,TXN_5531712,Other,2,1.5,3.0,Cash,Takeaway,2023-01-09
222,TXN_4639319,Coffee,5,2.0,10.0,Cash,Takeaway,2023-01-09
223,TXN_7994903,Smoothie,4,4.0,16.0,Credit Card,In-store,2023-01-09
224,TXN_3355537,Tea,3,1.5,4.5,Digital Wallet,Takeaway,2023-01-09
225,TXN_9072517,Smoothie,2,4.0,8.0,Credit Card,Takeaway,2023-01-09
226,TXN_3487896,Coffee,5,2.0,10.0,Credit Card,Takeaway,2023-01-09
227,TXN_4612269,Salad,5,3.0,25.0,Other,Takeaway,2023-01-09
228,TXN_9239779,Salad,1,5.0,5.0,Cash,Takeaway,2023-01-09
229,TXN_2123573,Coffee,5,2.0,10.0,Digital Wallet,Takeaway,2023-01-09
230,TXN_1075183,Tea,2,1.5,3.0,Credit Card,Takeaway,2023-01-09
231,TXN_4848431,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-01-09
232,TXN_4551806,Tea,1,1.5,1.5,Other,Takeaway,2023-01-09
233,TXN_8554646,Coffee,2,2.0,4.0,Cash,Takeaway,2023-01-10
234,TXN_7755372,Juice,5,3.0,15.0,Other,Takeaway,2023-01-10
235,TXN_9710430,Sandwich,3,4.0,12.0,Credit Card,Takeaway,2023-01-10
236,TXN_5398922,Salad,1,5.0,5.0,Cash,In-store,2023-01-10
237,TXN_4679593,Juice,1,3.0,3.0,Cash,In-store,2023-01-10
238,TXN_5754317,Coffee,2,3.0,4.0,Credit Card,Takeaway,2023-01-10
239,TXN_9489176,Juice,5,3.0,15.0,Digital Wallet,In-store,2023-01-10
240,TXN_7763212,Sandwich,1,4.0,4.0,Credit Card,Takeaway,2023-01-10
241,TXN_4532280,Coffee,3,2.0,10.0,Credit Card,Takeaway,2023-01-10
242,TXN_9493077,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-01-10
243,TXN_3106348,Salad,4,5.0,20.0,Digital Wallet,In-store,2023-01-10
244,TXN_2494138,Cookie,3,1.0,3.0,Cash,Takeaway,2023-01-10
245,TXN_3270584,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-01-10
246,TXN_3132921,Tea,3,1.5,7.5,Credit Card,In-store,2023-01-10
247,TXN_2148617,Juice,3,3.0,9.0,Digital Wallet,Takeaway,2023-01-10
248,TXN_9976598,Juice,4,3.0,12.0,Other,Takeaway,2023-01-10
249,TXN_3043982,Sandwich,5,4.0,20.0,Cash,In-store,2023-01-10
250,TXN_9320353,Salad,5,5.0,25.0,Cash,In-store,2023-01-10
251,TXN_2470745,Sandwich,3,4.0,8.0,Digital Wallet,Takeaway,2023-01-10
252,TXN_4520062,Other,2,1.5,3.0,Other,In-store,2023-01-10
253,TXN_8059034,Coffee,1,2.0,2.0,Digital Wallet,Takeaway,2023-01-10
254,TXN_6380636,Coffee,5,2.0,10.0,Other,Takeaway,2023-01-10
255,TXN_7855761,Cookie,1,1.0,1.0,Cash,In-store,2023-01-10
256,TXN_8708666,Cake,4,3.0,12.0,Other,Takeaway,2023-01-10
257,TXN_6650263,Tea,2,1.5,3.0,Other,Takeaway,2023-01-10
258,TXN_7507071,Smoothie,2,4.0,8.0,Other,In-store,2023-01-10
259,TXN_2588566,Other,3,5.0,15.0,Other,Takeaway,2023-01-10
260,TXN_5660949,Cookie,3,1.0,3.0,Credit Card,In-store,2023-01-10
261,TXN_8732269,Cake,2,3.0,6.0,Credit Card,Takeaway,2023-01-11
262,TXN_9520855,Cake,4,3.0,12.0,Other,Takeaway,2023-01-11
263,TXN_5448157,Other,3,1.0,3.0,Credit Card,Takeaway,2023-01-11
264,TXN_3189677,Smoothie,3,4.0,4.0,Other,Takeaway,2023-01-11
265,TXN_6021363,Sandwich,2,4.0,8.0,Credit Card,Takeaway,2023-01-11
266,TXN_7828462,Other,3,1.5,4.5,Cash,Takeaway,2023-01-11
267,TXN_2873573,Coffee,3,2.0,6.0,Other,In-store,2023-01-11
268,TXN_4430772,Coffee,5,2.0,10.0,Credit Card,Takeaway,2023-01-11
269,TXN_6496506,Juice,1,3.0,3.0,Digital Wallet,In-store,2023-01-11
270,TXN_9728414,Tea,1,1.5,1.5,Credit Card,Takeaway,2023-01-11
271,TXN_2773987,Smoothie,5,4.0,20.0,Other,Takeaway,2023-01-11
272,TXN_7991782,Juice,2,3.0,6.0,Other,In-store,2023-01-11
273,TXN_7218914,Other,1,5.0,5.0,Digital Wallet,In-store,2023-01-11
274,TXN_5222176,Cookie,4,1.0,4.0,Other,In-store,2023-01-11
275,TXN_9089898,Salad,3,3.0,15.0,Credit Card,Takeaway,2023-01-11
276,TXN_6337312,Salad,1,5.0,5.0,Other,In-store,2023-01-11
277,TXN_7995960,Juice,1,3.0,3.0,Digital Wallet,Takeaway,2023-01-11
278,TXN_3869958,Cake,1,3.0,3.0,Digital Wallet,Takeaway,2023-01-11
279,TXN_5940531,Tea,1,1.5,1.5,Other,In-store,2023-01-11
280,TXN_1072984,Tea,4,1.5,6.0,Digital Wallet,Takeaway,2023-01-11
281,TXN_1324930,Sandwich,5,4.0,20.0,Credit Card,Takeaway,2023-01-11
282,TXN_2818867,Salad,3,5.0,15.0,Cash,Takeaway,2023-01-11
283,TXN_9703722,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-01-11
284,TXN_8652632,Tea,1,1.5,1.5,Digital Wallet,Takeaway,2023-01-12
285,TXN_6874059,Salad,4,5.0,20.0,Other,Takeaway,2023-01-12
286,TXN_4466681,Other,3,2.0,4.0,Cash,Takeaway,2023-01-12
287,TXN_4266787,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-01-12
288,TXN_5200292,Other,4,5.0,20.0,Cash,Takeaway,2023-01-12
289,TXN_8111101,Sandwich,5,4.0,20.0,Cash,Takeaway,2023-01-12
290,TXN_3938271,Salad,3,5.0,15.0,Other,In-store,2023-01-12
291,TXN_6751134,Sandwich,3,3.0,12.0,Other,Takeaway,2023-01-12
292,TXN_3643361,Tea,1,1.5,1.5,Cash,Takeaway,2023-01-12
293,TXN_6189334,Sandwich,1,4.0,4.0,Cash,In-store,2023-01-12
294,TXN_4780352,Salad,3,5.0,5.0,Digital Wallet,Takeaway,2023-01-12
295,TXN_9159212,Smoothie,3,4.0,12.0,Digital Wallet,Takeaway,2023-01-12
296,TXN_4530804,Coffee,4,2.0,8.0,Other,Takeaway,2023-01-12
297,TXN_6159539,Juice,1,3.0,3.0,Digital Wallet,Takeaway,2023-01-12
298,TXN_2207332,Coffee,1,2.0,2.0,Credit Card,Takeaway,2023-01-12
299,TXN_5257169,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-01-12
300,TXN_2338617,Other,2,3.0,6.0,Digital Wallet,Takeaway,2023-01-12
301,TXN_7585599,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-01-12
302,TXN_1733916,Sandwich,4,4.0,16.0,Digital Wallet,In-store,2023-01-12
303,TXN_1967032,Tea,1,1.5,1.5,Digital Wallet,Takeaway,2023-01-12
304,TXN_1510406,Other,3,5.0,15.0,Other,In-store,2023-01-12
305,TXN_4634772,Juice,3,3.0,9.0,Credit Card,In-store,2023-01-12
306,TXN_4371760,Smoothie,2,4.0,8.0,Cash,In-store,2023-01-12
307,TXN_6926855,Sandwich,3,4.0,12.0,Cash,Takeaway,2023-01-12
308,TXN_8219210,Smoothie,5,4.0,20.0,Cash,Takeaway,2023-01-12
309,TXN_2503128,Cake,1,3.0,3.0,Cash,In-store,2023-01-12
310,TXN_5337074,Cookie,3,1.0,3.0,Credit Card,In-store,2023-01-12
311,TXN_3699636,Other,3,5.0,15.0,Digital Wallet,Takeaway,2023-01-12
312,TXN_8551432,Other,3,1.5,6.0,Other,Takeaway,2023-01-12
313,TXN_8710758,Sandwich,3,4.0,12.0,Credit Card,In-store,2023-01-12
314,TXN_4877933,Juice,5,3.0,15.0,Digital Wallet,In-store,2023-01-12
315,TXN_8615635,Other,3,1.0,4.0,Other,In-store,2023-01-12
316,TXN_4060215,Salad,3,5.0,15.0,Credit Card,In-store,2023-01-12
317,TXN_4268746,Cake,5,3.0,15.0,Credit Card,In-store,2023-01-12
318,TXN_6018020,Cookie,2,1.0,2.0,Credit Card,Takeaway,2023-01-12
319,TXN_1940330,Tea,4,1.5,6.0,Other,In-store,2023-01-12
320,TXN_2237115,Coffee,1,2.0,2.0,Other,Takeaway,2023-01-13
321,TXN_4541998,Sandwich,3,4.0,4.0,Other,Takeaway,2023-01-13
322,TXN_7426086,Coffee,4,2.0,8.0,Other,Takeaway,2023-01-13
323,TXN_9031518,Sandwich,5,4.0,20.0,Credit Card,In-store,2023-01-13
324,TXN_7735237,Cake,2,3.0,6.0,Digital Wallet,In-store,2023-01-13
325,TXN_9392028,Salad,5,3.0,25.0,Credit Card,In-store,2023-01-13
326,TXN_9298882,Sandwich,3,4.0,12.0,Other,Takeaway,2023-01-13
327,TXN_6868763,Other,3,3.0,9.0,Digital Wallet,In-store,2023-01-13
328,TXN_6004967,Salad,4,5.0,20.0,Credit Card,Takeaway,2023-01-13
329,TXN_2598728,Cake,2,3.0,6.0,Credit Card,Takeaway,2023-01-13
330,TXN_7907366,Coffee,4,2.0,8.0,Digital Wallet,Takeaway,2023-01-13
